"run","profile_parameter","parameter_value","likelihood","gradient","SB0","SBfinal","Deplfinal","Nparsonbounds"
"7","SR_LN(R0)",8,5117.78,0.0201645,13711.2,3233.14,0.235802,1
"6","SR_LN(R0)",8.25,5110.19,4.08819e-05,13007.9,3971.24,0.305295,0
"5","SR_LN(R0)",8.5,5103.11,0.000353747,12829,4804.65,0.374514,0
"4","SR_LN(R0)",8.75,5097.09,5.9306e-05,13048.1,5759.35,0.441393,0
"3","SR_LN(R0)",9,5092.57,0.000120818,13615.7,6849.61,0.503068,0
"2","SR_LN(R0)",9.25,5089.7,0.000184641,14511.8,8067.92,0.555954,0
"1","SR_LN(R0)",9.5,5088.4,0.000200526,15790.9,9551.77,0.604891,0
"8","SR_LN(R0)",9.61933,5088.27,9.08628e-05,16546.2,10383.5,0.627547,0
"9","SR_LN(R0)",9.75,5088.24,0.00135874,17505.1,11459.1,0.654617,0
"10","SR_LN(R0)",10,5088.83,0.000853856,19810.1,13902.8,0.701806,0
"11","SR_LN(R0)",10.25,5090.03,0.0080912,22849.2,16905,0.739851,0
"12","SR_LN(R0)",10.5,5091.89,9.24414e-05,26707.1,20540.8,0.769113,1
"13","SR_LN(R0)",10.75,5094.25,8.79105e-05,31837.9,25308.1,0.794907,1
"14","SR_LN(R0)",11,5096.79,0.000106157,38580.3,31532.4,0.817318,1
