"year","month","fleet","sex","partition","Nsamp","U-25.1","U-27.1","U-29.1","U-31.1","U-33.1","U-35.1","U-37.1","U-39.1","U-41.1","U-43.1","U-45.1","U-47.1","U-49.1","U-51.1","U-53.1","U-55.1","U-57.1","U-59.1","U-61.1","U-63.1","U-65.1","U-67.1","U-69.1","U-71.1","U-73.1","U-75.1","U-77.1","U-79.1","U-81.1","U-83.1","U-85.1","U-87.1","U-89.1","U-91.1","U-93.1","U-95.1","U-97.1","U-99.1","U-101.1","U-103.1","U-105.1","U-107.1","U-109.1","U-111.1"
2004,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,1,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,3,0,2,0,0,0,1,0,0,0,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2006,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,1,1,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,1,1,0,0,39,0,0,0,0,0,3,0,1,3,4,12,3,3,2,1,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2013,1,1,0,0,23,0,0,0,0,0,1,0,1,0,1,3,4,6,0,2,0,1,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,1,1,0,0,38,0,0,0,0,1,1,2,1,0,0,0,1,2,5,1,2,5,8,5,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2015,1,1,0,0,32,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,2,0,3,1,0,1,7,0,3,2,3,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0
2016,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
