"year","month","fleet","sex","partition","Nsamp","F-25.1","F-27.1","F-29.1","F-31.1","F-33.1","F-35.1","F-37.1","F-39.1","F-41.1","F-43.1","F-45.1","F-47.1","F-49.1","F-51.1","F-53.1","F-55.1","F-57.1","F-59.1","F-61.1","F-63.1","F-65.1","F-67.1","F-69.1","F-71.1","F-73.1","F-75.1","F-77.1","F-79.1","F-81.1","F-83.1","F-85.1","F-87.1","F-89.1","F-91.1","F-93.1","F-95.1","F-97.1","F-99.1","F-101.1","F-103.1","F-105.1","F-107.1","F-109.1","F-111.1","M-25.1","M-27.1","M-29.1","M-31.1","M-33.1","M-35.1","M-37.1","M-39.1","M-41.1","M-43.1","M-45.1","M-47.1","M-49.1","M-51.1","M-53.1","M-55.1","M-57.1","M-59.1","M-61.1","M-63.1","M-65.1","M-67.1","M-69.1","M-71.1","M-73.1","M-75.1","M-77.1","M-79.1","M-81.1","M-83.1","M-85.1","M-87.1","M-89.1","M-91.1","M-93.1","M-95.1","M-97.1","M-99.1","M-101.1","M-103.1","M-105.1","M-107.1","M-109.1","M-111.1"
2004,1,1,3,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,2,3,2,2,1,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,1,1,3,0,27,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,2,2,0,1,2,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,1,1,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,1,1,3,0,23,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,4,3,1,0,0,0,1,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,1,1,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,1,1,3,0,19,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,1,1,3,0,14,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,1,1,3,0,28,0,0,0,0,0,1,0,1,0,1,0,0,2,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,3,2,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,1,1,3,0,27,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2,1,3,1,2,1,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,1,1,3,0,71,0,0,0,0,0,0,0,0,0,0,1,2,1,2,0,2,4,4,1,2,1,2,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,4,6,5,5,5,4,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
