"year","month","fleet","sex","partition","ageErr","agelow","agehigh","Nsamp","F0","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","M0","M1","M2","M3","M4","M5","M6","M7","M8","M9","M10","M11","M12","M13","M14","M15","M16","M17","M18","M19","M20"
1995,7,6,3,0,1,-1,-1,102,0,25,20,5,3.33333333333333,1.66666666666667,1.66666666666667,0,0,1.66666666666667,0,0,0,0,0,0,0,0,0,0,0,0,16.6666666666667,18.3333333333333,1.66666666666667,3.33333333333333,0,1.66666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,7,6,3,0,1,-1,-1,90,4,20,28,8,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,18,2,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,7,6,3,0,1,-1,-1,107,0,14.4736842105263,31.5789473684211,5.26315789473684,3.94736842105263,1.31578947368421,2.63157894736842,1.31578947368421,0,1.31578947368421,0,0,0,0,0,0,0,0,0,0,0,0,15.7894736842105,11.8421052631579,6.57894736842105,1.31578947368421,1.31578947368421,1.31578947368421,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,7,6,3,0,1,-1,-1,147,2.08333333333333,11.8055555555556,13.1944444444444,10.4166666666667,6.94444444444444,4.16666666666667,6.25,2.77777777777778,0.694444444444444,0,1.38888888888889,0.694444444444444,0,0,0,0,0,0,0,0,0,0.694444444444444,14.5833333333333,7.63888888888889,4.86111111111111,4.86111111111111,6.25,0,0.694444444444444,0,0,0,0,0,0,0,0,0,0,0,0,0
