"year","month","fleet","sex","partition","ageErr","agelow","agehigh","Nsamp","F0","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","M0","M1","M2","M3","M4","M5","M6","M7","M8","M9","M10","M11","M12","M13","M14","M15"
1995,"Month","Fleet",3,0,"Enter","Enter","Enter",102,0,22.0338983050847,18.6440677966102,6.77966101694915,3.38983050847458,3.38983050847458,3.38983050847458,0,0,1.69491525423729,0,0,0,0,0,0,0,13.5593220338983,16.9491525423729,1.69491525423729,3.38983050847458,1.69491525423729,1.69491525423729,0,1.69491525423729,0,0,0,0,0,0,0
1998,"Month","Fleet",3,0,"Enter","Enter","Enter",90,2.32558139534884,20.9302325581395,27.906976744186,6.97674418604651,2.32558139534884,2.32558139534884,0,0,0,0,0,0,0,0,0,0,2.32558139534884,6.97674418604651,18.6046511627907,4.65116279069767,4.65116279069767,0,0,0,0,0,0,0,0,0,0,0
2001,"Month","Fleet",3,0,"Enter","Enter","Enter",107,0,13.8888888888889,31.9444444444444,5.55555555555556,4.16666666666667,1.38888888888889,1.38888888888889,1.38888888888889,0,1.38888888888889,0,0,0,0,0,0,0,15.2777777777778,12.5,6.94444444444444,1.38888888888889,1.38888888888889,1.38888888888889,0,0,0,0,0,0,0,0,0
2004,"Month","Fleet",3,0,"Enter","Enter","Enter",147,2.11267605633803,10.5633802816901,11.2676056338028,11.9718309859155,7.74647887323944,5.63380281690141,9.15492957746479,2.8169014084507,0.704225352112676,0,1.40845070422535,0,0,0,0,0,0.704225352112676,14.0845070422535,6.33802816901408,4.92957746478873,4.92957746478873,4.92957746478873,0,0.704225352112676,0,0,0,0,0,0,0,0
