"year","month","fleet","sex","partition","ageErr","agelow","agehigh","Nsamp","U0","U1","U2","U3","U4","U5","U6","U7","U8","U9","U10","U11","U12","U13","U14","U15","U16","U17","U18","U19","U20","U0.1","U1.1","U2.1","U3.1","U4.1","U5.1","U6.1","U7.1","U8.1","U9.1","U10.1","U11.1","U12.1","U13.1","U14.1","U15.1","U16.1","U17.1","U18.1","U19.1","U20.1"
1995,"Month","Fleet",0,0,"Enter","Enter","Enter",102,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,"Month","Fleet",0,0,"Enter","Enter","Enter",90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,"Month","Fleet",0,0,"Enter","Enter","Enter",107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,"Month","Fleet",0,0,"Enter","Enter","Enter",147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
