"year","month","fleet","sex","partition","ageErr","agelow","agehigh","Nsamp","F0","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","M0","M1","M2","M3","M4","M5","M6","M7","M8","M9","M10","M11","M12","M13","M14","M15","M16","M17","M18","M19","M20"
1992,7,6,3,0,1,-1,-1,14,0,6.25,12.5,31.25,3.125,0,15.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,18.75,0,3.125,0,3.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,7,6,3,0,1,-1,-1,190,0,9.33333333333333,10.6666666666667,20,14.6666666666667,6.66666666666667,4,1.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.33333333333333,6.66666666666667,8,5.33333333333333,4,2.66666666666667,1.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,7,6,3,0,1,-1,-1,249,0.917431192660551,16.5137614678899,9.1743119266055,10.0917431192661,11.9266055045872,7.3394495412844,2.75229357798165,8.25688073394495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0917431192661,6.42201834862385,7.3394495412844,4.58715596330275,2.75229357798165,0.917431192660551,0,0.917431192660551,0,0,0,0,0,0,0,0,0,0,0,0
2001,7,6,3,0,1,-1,-1,235,0,10.2941176470588,19.8529411764706,12.8676470588235,3.67647058823529,2.20588235294118,3.30882352941176,4.41176470588235,4.04411764705882,2.57352941176471,1.83823529411765,0.735294117647059,0.367647058823529,0.367647058823529,0,0.367647058823529,0,0,0,0,0,0,7.35294117647059,15.4411764705882,6.98529411764706,1.47058823529412,0.367647058823529,0.367647058823529,0.367647058823529,0.367647058823529,0.367647058823529,0,0,0,0,0,0,0,0,0,0,0
2004,7,6,3,0,1,-1,-1,252,0,0.515463917525773,6.18556701030928,12.8865979381443,14.4329896907216,15.7216494845361,5.15463917525773,2.31958762886598,2.57731958762887,2.06185567010309,1.80412371134021,1.54639175257732,1.28865979381443,0,0,0,0,0,0,0,0,0,0.515463917525773,1.80412371134021,10.0515463917526,11.5979381443299,4.89690721649485,2.57731958762887,1.03092783505155,0.257731958762887,0.77319587628866,0,0,0,0,0,0,0,0,0,0,0
