"run","profile_parameter","parameter_value","likelihood","gradient","SB0","SBfinal","Deplfinal","Nparsonbounds"
"7","SR_LN(R0)",8,5117.78,0.0464219,13699.7,3223.04,0.235264,1
"6","SR_LN(R0)",8.25,5110.18,0.000668457,12996.4,3960.65,0.304751,0
"5","SR_LN(R0)",8.5,5103.09,0.0003271,12822,4798,0.3742,0
"4","SR_LN(R0)",8.75,5097.07,4.05501e-05,13046.8,5758.28,0.441354,0
"3","SR_LN(R0)",9,5092.55,9.57127e-05,13615,6849.09,0.503056,0
"2","SR_LN(R0)",9.25,5089.68,2.2532e-05,14511.3,8067.57,0.555951,0
"1","SR_LN(R0)",9.5,5088.38,0.000224463,15790.4,9551.5,0.604892,0
"8","SR_LN(R0)",9.67164,5088.28,6.58157e-05,16909.4,10761.9,0.636447,0
"9","SR_LN(R0)",9.75,5088.21,0.00725638,17504.6,11458.9,0.654619,0
"10","SR_LN(R0)",10,5088.8,0.000107677,19809.7,13902.5,0.701804,0
"11","SR_LN(R0)",10.25,5090,0.0010687,22848.3,16904.4,0.739851,0
"12","SR_LN(R0)",10.5,5091.87,8.53295e-05,26693.2,20531.2,0.769152,1
"13","SR_LN(R0)",10.75,5094.26,7.5835e-05,31792.9,25276.3,0.795027,1
"14","SR_LN(R0)",11,5096.87,2.58496e-05,38485.6,31466.6,0.817621,1
