"Year","Age0","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10","Age11","Age12","Age13","Age14","Age15","Age16","Age17","Age18","Age19","Age20","Age21","Age22","Age23","Age24","Age25"
1889,9.55833,115.11,357.1,684.575,1028.71,1335.46,1573.54,1731.47,1811.5,1823.74,1781.76,1699.65,1590.32,1464.69,1331.46,1197.85,1067.69,944.237,829.491,724.548,629.806,545.179,470.244,404.374,346.822,1930.99
1890,9.55705,115.118,357.083,684.25,1027.75,1333.74,1571.36,1729.27,1809.6,1822.24,1780.63,1698.82,1589.71,1464.24,1331.12,1197.59,1067.5,944.084,829.371,724.452,629.73,545.117,470.194,404.333,346.788,1930.82
1891,9.55434,115.103,357.092,683.892,1026.3,1330.79,1567.16,1724.68,1805.39,1818.81,1778.03,1696.9,1588.32,1463.22,1330.38,1197.03,1067.08,943.758,829.116,724.251,629.57,544.989,470.09,404.248,346.72,1930.48
1892,9.55017,115.07,357.027,683.583,1024.8,1327.2,1561.51,1717.88,1798.69,1813.08,1773.55,1693.58,1585.91,1461.49,1329.12,1196.11,1066.38,943.229,828.708,723.932,629.318,544.788,469.929,404.118,346.614,1929.96
1893,9.54454,115.02,356.909,683.129,1023.37,1323.53,1555.1,1709.47,1789.68,1804.83,1766.82,1688.48,1582.19,1458.82,1327.2,1194.72,1065.36,942.461,828.123,723.479,628.963,544.507,469.705,403.938,346.468,1929.26
1894,9.53956,114.952,356.762,683.072,1023.19,1322.57,1551.93,1703.58,1781.9,1796.57,1759.37,1682.5,1577.74,1455.63,1324.95,1193.13,1064.22,941.635,827.511,723.018,628.61,544.233,469.489,403.766,346.331,1928.63
1895,9.53542,114.892,356.56,682.963,1023.61,1323.23,1551.94,1701.26,1776.76,1789.54,1751.9,1675.84,1572.47,1451.77,1322.23,1191.24,1062.91,940.711,826.849,722.534,628.249,543.959,469.279,403.603,346.202,1928.07
1896,9.53225,114.842,356.383,682.75,1023.95,1324.69,1553.87,1702.43,1775.33,1785.16,1745.64,1669.17,1566.57,1447.16,1318.9,1188.93,1061.33,939.632,826.102,722.008,627.87,543.681,469.07,403.444,346.079,1927.58
1897,9.52934,114.804,356.228,682.398,1023.6,1325.06,1555.49,1704.46,1776.47,1783.67,1741.33,1663.17,1560.3,1441.71,1314.71,1185.93,1059.26,938.231,825.149,721.351,627.409,543.35,468.828,403.263,345.942,1927.05
1898,9.52666,114.769,356.109,682.088,1023.03,1324.53,1555.85,1706.15,1778.52,1784.76,1739.82,1659.03,1554.67,1435.93,1309.74,1182.14,1056.58,936.399,823.914,720.515,626.836,542.948,468.54,403.053,345.785,1926.47
1899,9.52418,114.737,356,681.846,1022.52,1323.73,1555.14,1706.45,1780.2,1786.75,1740.84,1657.56,1550.78,1430.73,1304.47,1177.67,1053.2,934.02,822.3,719.433,626.106,542.45,468.192,402.804,345.603,1925.85
1900,9.52189,114.707,355.899,681.624,1022.12,1323.01,1554.11,1705.58,1780.44,1788.39,1742.74,1658.5,1549.38,1427.13,1299.74,1172.92,1049.21,931.026,820.207,718.02,625.162,541.816,467.76,402.503,345.389,1925.15
1901,9.51911,114.679,355.797,681.265,1021.3,1321.62,1552.16,1703.34,1778.58,1787.87,1743.77,1659.89,1549.95,1425.62,1296.3,1168.53,1044.88,927.418,817.516,716.143,623.896,540.968,467.188,402.111,345.114,1924.29
1902,9.5158,114.646,355.703,680.905,1020.27,1319.69,1549.42,1700.09,1775.28,1785.24,1742.69,1660.45,1550.95,1425.92,1294.76,1165.31,1040.87,923.517,814.288,713.746,622.226,539.84,466.431,401.598,344.76,1923.24
1903,9.51192,114.606,355.591,680.557,1019.24,1317.49,1546.05,1695.98,1770.93,1781.17,1739.56,1659,1551.16,1426.61,1294.86,1163.8,1037.91,919.9,810.802,710.878,620.104,538.364,465.433,400.926,344.303,1921.96
1904,9.50744,114.559,355.458,680.174,1018.23,1315.27,1542.35,1691.17,1765.68,1776.04,1735.01,1655.59,1549.5,1426.57,1295.32,1163.76,1036.46,917.199,807.565,707.787,617.574,536.496,464.135,400.047,343.71,1920.4
1905,9.50238,114.505,355.304,679.751,1017.16,1313.08,1538.64,1686,1759.7,1770.01,1729.44,1650.85,1546,1424.81,1295.11,1164.04,1036.33,915.844,805.133,704.912,614.848,534.275,462.498,398.91,342.939,1918.47
1906,9.49821,114.444,355.146,679.633,1017.04,1312.62,1537.24,1683.12,1755.33,1764.81,1724.17,1645.98,1541.9,1421.84,1293.7,1164,1036.68,915.809,804.008,702.84,612.392,531.95,460.611,397.526,341.982,1916.27
1907,9.49505,114.394,354.966,679.51,1017.39,1313.41,1537.89,1682.77,1753.35,1761.24,1719.71,1641.41,1537.68,1418.3,1291.18,1162.86,1036.74,916.203,804.041,701.909,610.634,529.859,458.634,395.925,340.814,1913.68
1908,9.49299,114.356,354.82,679.346,1017.74,1314.8,1540.01,1684.68,1754.03,1760.06,1716.84,1637.62,1533.74,1414.67,1288.15,1160.73,1035.84,916.341,804.452,701.99,609.866,528.371,456.858,394.249,339.46,1910.57
1909,9.49205,114.331,354.712,679.246,1018.03,1316.2,1542.84,1688.2,1757.05,1761.55,1716.31,1635.34,1530.52,1411.29,1285.03,1158.15,1034.05,915.625,804.639,702.401,609.978,527.74,455.602,392.744,338.041,1906.86
1910,9.49002,114.32,354.617,678.703,1016.89,1314.81,1542.24,1689.07,1758.79,1763.07,1716.62,1633.99,1527.78,1407.88,1281.62,1155.09,1031.55,913.889,803.889,702.468,610.258,527.774,455.007,391.623,336.717,1902.32
1911,9.48673,114.295,354.564,678.184,1015.08,1311.57,1538.38,1686.16,1757.75,1763.29,1716.95,1633.45,1525.91,1404.9,1278.18,1151.77,1028.63,911.524,802.242,701.715,610.238,527.954,454.986,391.07,335.722,1897.17
1912,9.48207,114.256,354.47,677.743,1013.31,1307.47,1532.34,1679.68,1752.78,1760.71,1716.01,1632.91,1524.78,1402.72,1275.14,1148.42,1025.47,908.787,800.044,700.18,609.505,527.873,455.089,391.01,335.214,1891.78
1913,9.476,114.199,354.329,677.22,1011.64,1303.39,1525.28,1670.81,1744.07,1754.18,1712.34,1631.16,1523.66,1401.22,1272.82,1145.42,1022.29,905.842,797.518,698.163,608.093,527.175,454.967,391.056,335.127,1886.62
1914,9.46851,114.126,354.137,676.603,1009.84,1299.44,1518.24,1660.83,1732.9,1743.91,1704.81,1626.81,1521.39,1399.72,1271.11,1143.08,1019.42,902.873,794.808,695.859,606.261,525.889,454.314,390.909,335.132,1882.02
1915,9.45962,114.036,353.892,675.885,1007.89,1295.3,1511.34,1650.87,1720.56,1731.16,1693.65,1618.79,1516.69,1397.17,1269.4,1141.28,1017.13,900.179,792.078,693.395,604.181,524.24,453.153,390.304,334.97,1877.96
1916,9.44937,113.929,353.593,675.061,1005.78,1290.96,1504.21,1641.04,1708.23,1717.25,1680.08,1607.31,1508.56,1392.37,1266.73,1139.47,1015.32,897.994,789.588,690.912,601.96,522.375,451.678,389.263,334.416,1874.22
1917,9.43642,113.805,353.225,673.815,1002.57,1284.76,1494.77,1628.91,1694.29,1701.98,1664.34,1592.78,1496.65,1384.02,1261.71,1136.57,1013.32,896.093,787.43,688.548,599.65,520.331,449.97,387.913,333.456,1870.24
1918,9.4207,113.649,352.806,672.426,998.705,1277.12,1483.13,1614.24,1677.94,1685.07,1647.27,1576.18,1481.89,1372.17,1253.45,1131.54,1010.33,894.016,785.517,686.471,597.441,518.207,448.105,386.362,332.23,1865.69
1919,9.40213,113.46,352.285,670.924,994.59,1268.58,1469.78,1597.16,1658.95,1665.75,1628.6,1558.31,1465.2,1357.71,1242.03,1123.61,1005.46,891.062,783.445,684.603,595.479,516.169,446.172,384.675,330.831,1860.44
1920,9.3798,113.236,351.649,669.008,989.669,1258.62,1454.04,1576.91,1636.36,1642.93,1606.94,1538.45,1446.96,1341.21,1228.04,1112.68,997.876,886.345,780.527,682.535,593.649,514.304,444.279,382.902,329.293,1854.33
1921,9.36751,112.967,351.071,669.997,993.238,1263.58,1456.56,1573.83,1627.43,1629.86,1591.93,1523.16,1432.33,1327.35,1215.24,1101.76,989.427,880.645,777.174,680.614,592.354,513.126,443,381.545,327.995,1848.97
1922,9.36351,112.82,350.321,670.462,999.297,1276.2,1472.37,1586.49,1632.72,1627.6,1584.24,1512.59,1420.79,1315.92,1204.17,1091.42,980.608,873.885,772.729,678.132,591.041,512.293,442.218,380.637,326.989,1844.11
1923,9.35745,112.771,349.818,668.187,997.523,1279.63,1481.62,1598.32,1641.28,1629.32,1579.38,1503.33,1409.49,1304.26,1193.01,1080.88,970.932,865.724,766.502,674.017,588.695,511.004,441.375,379.863,326.127,1838.72
1924,9.35511,112.698,349.7,667.833,995.912,1280.5,1489.56,1612.29,1656.85,1640.46,1582.98,1500.13,1401.89,1294.65,1183,1071.29,961.888,857.447,759.554,668.754,585.259,509.086,440.354,379.212,325.523,1833.72
1925,9.3556,112.67,349.495,668.012,996.57,1280.53,1493.21,1623.55,1673.58,1657.77,1595.09,1504.49,1399.59,1288.17,1174.67,1062.6,953.579,849.635,752.431,662.803,580.779,506.187,438.761,378.383,325.006,1829.19
1926,9.34944,112.676,349.32,665.944,991.929,1272.71,1482.34,1616.64,1675.92,1667.21,1606.5,1512.07,1400.81,1283.97,1167.23,1053.92,944.92,841.574,745.003,656.129,575.24,502.01,436.016,376.812,324.129,1824.08
1927,9.34444,112.602,349.349,665.826,989.486,1267.89,1474.67,1606.25,1669.98,1670.48,1616.35,1523.4,1408.23,1285.35,1163.62,1047.4,937.324,834.024,738.008,649.71,569.495,497.261,432.45,374.48,322.804,1819.11
1928,9.3355,112.541,349.069,664.936,986.554,1259.92,1463,1591.87,1654.03,1660.44,1616.44,1530.48,1417.15,1290.98,1163.99,1043.5,931.012,826.92,731.07,643.356,563.718,492.128,428.222,371.305,320.714,1813.3
1929,9.32229,112.434,348.831,663.441,982.426,1251.26,1447.63,1573.13,1633.95,1640.42,1603.6,1528.27,1422.07,1297.93,1168.18,1043.15,927.022,820.945,724.521,637.05,557.997,486.967,423.663,367.561,317.901,1806.11
1930,9.30615,112.274,348.462,662.347,978.321,1242.7,1433.54,1552.51,1611.19,1617.73,1582.17,1514.58,1418.87,1301.6,1173.86,1046.45,926.365,817.153,719.072,631.172,552.39,481.913,419.129,363.572,314.633,1797.28
1931,9.28937,112.08,347.959,661.465,976.15,1236.52,1422.52,1536.21,1589.05,1594.39,1559.67,1493.89,1405.83,1298.43,1177,1051.4,929.187,816.495,715.688,626.376,547.254,477.039,414.753,359.66,311.201,1786.92
1932,9.28387,111.878,347.473,662.709,981.531,1245.73,1430.44,1539.21,1584.96,1582.31,1544.5,1478.01,1390.54,1289.37,1176.26,1055.8,934.792,819.913,715.835,624,543.552,472.973,410.859,356.152,308.056,1776.27
1933,9.28145,111.812,346.861,662.037,984.346,1254.55,1443.65,1550.31,1590.18,1579.84,1533.95,1464.45,1376.33,1275.74,1168.33,1055.34,938.855,824.966,718.913,624.19,541.539,469.811,407.387,352.833,305.071,1764.66
1934,9.26254,111.782,346.43,656.504,971.742,1238.89,1430.36,1541.53,1581.92,1569.49,1519.76,1445.61,1357.06,1257.67,1152.13,1045.23,936.093,826.696,721.874,625.703,540.763,467.307,404.039,349.336,301.801,1750.03
1935,9.26085,111.555,346.546,659.681,974.576,1241.62,1435.48,1550.04,1592.36,1576.54,1521.21,1440.67,1345.85,1244.74,1139.36,1033.48,929.274,825.959,724.73,629.347,542.927,467.325,402.445,346.924,299.189,1736.87
