"Year","Age0","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10","Age11","Age12","Age13","Age14","Age15","Age16","Age17","Age18","Age19","Age20","Age21","Age22","Age23","Age24","Age25"
1889,1126.69,950.49,801.906,676.549,570.789,481.561,406.282,342.77,289.187,243.98,205.841,173.663,146.515,123.611,104.288,87.9854,74.2312,62.6271,52.837,44.5773,37.6089,31.7297,26.7696,22.5849,19.0543,102.836
1890,1126.54,950.561,801.868,676.228,570.257,480.944,405.719,342.335,288.883,243.779,205.71,173.578,146.459,123.573,104.262,87.9667,74.2176,62.617,52.8293,44.5715,37.6043,31.7261,26.7667,22.5826,19.0525,102.827
1891,1126.22,950.433,801.89,675.874,569.454,479.878,404.636,341.426,288.213,243.321,205.409,173.382,146.331,123.488,104.203,87.9257,74.1881,62.5953,52.8131,44.5591,37.5947,31.7186,26.7608,22.5779,19.0487,102.809
1892,1125.73,950.164,801.743,675.569,568.621,478.583,403.175,340.079,287.142,242.554,204.892,173.043,146.109,123.341,104.105,87.8576,74.1399,62.5603,52.7871,44.5395,37.5797,31.7069,26.7517,22.5706,19.0429,102.781
1893,1125.06,949.748,801.477,675.121,567.826,477.26,401.521,338.414,285.704,241.451,204.114,172.521,145.766,123.116,103.954,87.7554,74.0686,62.5093,52.7498,44.5116,37.5585,31.6906,26.7389,22.5605,19.0349,102.744
1894,1124.48,949.188,801.147,675.064,567.726,476.913,400.702,337.249,284.462,240.345,203.253,171.91,145.356,122.847,103.778,87.6386,73.9896,62.4545,52.7109,44.4832,37.5374,31.6746,26.7266,22.551,19.0273,102.71
1895,1123.99,948.693,800.695,674.956,567.96,477.154,400.705,336.788,283.641,239.405,202.39,171.23,144.871,122.521,103.565,87.4999,73.8983,62.3933,52.6687,44.4535,37.5159,31.6587,26.7147,22.5418,19.0203,102.681
1896,1123.62,948.282,800.297,674.746,568.152,477.678,401.205,337.02,283.413,238.82,201.667,170.548,144.327,122.132,103.305,87.3303,73.7886,62.3217,52.6211,44.4211,37.4932,31.6425,26.7028,22.533,19.0135,102.654
1897,1123.27,947.967,799.949,674.398,567.953,477.814,401.623,337.423,283.595,238.619,201.169,169.935,143.75,121.672,102.976,87.1097,73.645,62.2287,52.5604,44.3807,37.4657,31.6233,26.689,22.5228,19.006,102.626
1898,1122.96,947.677,799.681,674.091,567.639,477.623,401.715,337.757,283.922,238.765,200.995,169.512,143.231,121.184,102.587,86.8317,73.4584,62.1072,52.4817,44.3293,37.4315,31.5999,26.6726,22.5111,18.9974,102.595
1899,1122.66,947.41,799.435,673.853,567.359,477.333,401.531,337.817,284.191,239.032,201.113,169.362,142.872,120.746,102.174,86.503,73.2234,61.9495,52.379,44.2627,37.3879,31.5709,26.6528,22.4972,18.9874,102.562
1900,1122.39,947.164,799.209,673.633,567.137,477.073,401.265,337.645,284.229,239.251,201.333,169.458,142.744,120.441,101.803,86.1544,72.9457,61.7509,52.2456,44.1757,37.3315,31.534,26.6282,22.4804,18.9756,102.525
1901,1122.07,946.936,798.982,673.278,566.681,476.573,400.761,337.201,283.931,239.182,201.451,169.6,142.796,120.314,101.534,85.8323,72.6449,61.5116,52.0742,44.0603,37.2559,31.4846,26.5956,22.4585,18.9605,102.479
1902,1121.68,946.66,798.769,672.922,566.111,475.875,400.056,336.558,283.405,238.83,201.327,169.657,142.888,120.339,101.413,85.5957,72.3664,61.2529,51.8686,43.9128,37.1562,31.419,26.5525,22.4299,18.941,102.423
1903,1121.22,946.33,798.517,672.578,565.538,475.081,399.184,335.745,282.711,238.285,200.964,169.509,142.907,120.398,101.421,85.4846,72.1601,61.0129,51.6465,43.7363,37.0295,31.3331,26.4957,22.3923,18.9159,102.355
1904,1120.69,945.944,798.219,672.2,564.975,474.284,398.23,334.791,281.873,237.599,200.44,169.161,142.755,120.394,101.457,85.4819,72.0596,60.8338,51.4404,43.5461,36.8784,31.2244,26.4218,22.3432,18.8833,102.272
1905,1120.09,945.498,797.873,671.782,564.381,473.492,397.272,333.768,280.917,236.792,199.796,168.676,142.432,120.246,101.441,85.5025,72.0504,60.744,51.2854,43.3693,36.7156,31.0951,26.3287,22.2797,18.841,102.169
1906,1119.6,944.995,797.519,671.666,564.318,473.327,396.911,333.198,280.221,236.096,199.187,168.179,142.054,119.995,101.33,85.499,72.075,60.7416,51.2138,43.2418,36.569,30.9598,26.2212,22.2024,18.7884,102.052
1907,1119.23,944.58,797.115,671.544,564.513,473.612,397.078,333.13,279.905,235.618,198.671,167.712,141.666,119.697,101.133,85.4156,72.0793,60.7678,51.2159,43.1845,36.464,30.8381,26.1087,22.113,18.7242,101.914
1908,1118.99,944.267,796.786,671.382,564.704,474.114,397.624,333.506,280.012,235.462,198.34,167.324,141.303,119.39,100.895,85.2593,72.0165,60.7769,51.2421,43.1895,36.4181,30.7515,26.0076,22.0194,18.6499,101.748
1909,1118.88,944.062,796.543,671.283,564.863,474.617,398.356,334.204,280.494,235.661,198.279,167.091,141.006,119.105,100.651,85.0694,71.892,60.7294,51.254,43.2148,36.4248,30.7148,25.9361,21.9354,18.5719,101.551
1910,1118.64,943.968,796.331,670.746,564.231,474.116,398.202,334.375,280.772,235.863,198.315,166.954,140.753,118.817,100.384,84.8448,71.7182,60.6143,51.2062,43.2189,36.4415,30.7168,25.9022,21.8727,18.4992,101.309
1911,1118.25,943.766,796.212,670.234,563.229,472.949,397.203,333.801,280.607,235.893,198.353,166.898,140.581,118.565,100.115,84.6008,71.5151,60.4574,51.1013,43.1726,36.4403,30.7272,25.901,21.8419,18.4445,101.035
1912,1117.7,943.438,796.001,669.797,562.244,471.468,395.645,332.516,279.813,235.548,198.244,166.844,140.477,118.382,99.8765,84.3549,71.2956,60.2759,50.9613,43.0781,36.3966,30.7225,25.9069,21.8385,18.4166,100.748
