"run","profile_parameter","parameter_value","likelihood","gradient","SB0","SBfinal","Deplfinal","Nparsonbounds"
"4","SR_BH_steep",0.4,5067.25,5.81181e-05,22114.1,12411.6,0.561252,7
"3","SR_BH_steep",0.5,5066.92,6.14898e-05,19772.2,12511.5,0.632783,7
"2","SR_BH_steep",0.6,5066.96,7.71267e-05,18701.5,12618.2,0.674714,7
"1","SR_BH_steep",0.7,5067.12,9.20632e-05,18102.9,12715.9,0.702422,7
"5","SR_BH_steep",0.795796,5067.32,8.42716e-05,17742.2,12799.3,0.721408,7
"6","SR_BH_steep",0.8,5067.33,9.77584e-05,17729.4,12802.8,0.722121,7
"7","SR_BH_steep",0.9,5067.53,0.000157809,17479.2,12879.4,0.736841,7
