"run","profile_parameter","parameter_value","likelihood","gradient","SB0","SBfinal","Deplfinal","Nparsonbounds"
"6","SR_LN(R0)",6.5,3053.18,0.000136154,33447.9,8925.85,0.266858,2
"5","SR_LN(R0)",6.75,3045.46,0.00130836,19570.3,6549.89,0.334686,1
"4","SR_LN(R0)",7,3039.91,0.00152093,17726.1,6932.98,0.391117,1
"3","SR_LN(R0)",7.25,3040.14,0.00185815,19259.1,8684.18,0.450913,1
"2","SR_LN(R0)",7.5,3033.52,0.00110418,15787.9,7668.42,0.485716,0
"1","SR_LN(R0)",7.75,3032.11,0.000339596,15444.9,7957.12,0.515195,0
"7","SR_LN(R0)",7.98916,3031.7,0.000208145,15487.8,8169.08,0.527453,0
"8","SR_LN(R0)",8,3031.7,9.31199e-05,15497.7,8176.78,0.527614,0
"9","SR_LN(R0)",8.25,3032.13,5.91617e-05,15981.8,8339.55,0.521816,0
"10","SR_LN(R0)",8.5,3033.23,4.8421e-05,16962.1,8439.96,0.497576,0
"11","SR_LN(R0)",8.75,3034.87,6.14024e-05,18697.4,8485.2,0.453817,0
"12","SR_LN(R0)",9,3036.88,0.00026887,21004.7,8449.16,0.402251,0
"13","SR_LN(R0)",9.25,3039.1,0.00024545,24277.1,8452.14,0.348153,0
"14","SR_LN(R0)",9.5,3036.74,8.25563e-05,21051,26938.7,1.27969,0
"15","SR_LN(R0)",9.75,3037.18,6.03212e-05,25369.1,33035.4,1.30219,0
"16","SR_LN(R0)",10,3037.56,5.02468e-05,31346.7,41375.6,1.31993,0
