"year","month","fleet","sex","partition","Nsamp","F-25","F-27","F-29","F-31","F-33","F-35","F-37","F-39","F-41","F-43","F-45","F-47","F-49","F-51","F-53","F-55","F-57","F-59","F-61","F-63","F-65","F-67","F-69","F-71","F-73","F-75","F-77","F-79","F-81","F-83","F-85","F-87","F-89","F-91","F-93","F-95","F-97","F-99","F-101","F-103","F-105","F-107","F-109","F-111","M-25","M-27","M-29","M-31","M-33","M-35","M-37","M-39","M-41","M-43","M-45","M-47","M-49","M-51","M-53","M-55","M-57","M-59","M-61","M-63","M-65","M-67","M-69","M-71","M-73","M-75","M-77","M-79","M-81","M-83","M-85","M-87","M-89","M-91","M-93","M-95","M-97","M-99","M-101","M-103","M-105","M-107","M-109","M-111"
2016,1,1,3,0,774,1,0,0,0,2,2,0,3,1,3,3,9,14,8,11,14,10,15,22,21,23,23,22,21,22,15,13,11,8,7,3,2,2,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,2,4,6,11,9,18,12,33,31,46,49,70,43,41,30,23,10,13,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2017,1,1,3,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,2,2,4,3,2,2,2,1,2,3,3,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,2,3,6,8,10,12,13,14,10,6,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
