"year","month","fleet","sex","partition","ageErr","agelow","agehigh","Nsamp","F-0","F-1","F-2","F-3","F-4","F-5","F-6","F-7","F-8","F-9","F-10","F-11","F-12","F-13","F-14","F-15","F-16","F-17","F-18","F-19","F-20","M-0","M-1","M-2","M-3","M-4","M-5","M-6","M-7","M-8","M-9","M-10","M-11","M-12","M-13","M-14","M-15","M-16","M-17","M-18","M-19","M-20"
2017,1,"Fleet",3,0,1,-1,-1,74,0,1,0,0,10,18,19,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,3,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0
2018,1,"Fleet",3,0,1,-1,-1,79,0,0,5,9,2,8,14,14,7,2,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,2,2,4,3,0,0,0,0,0,0,0,0,0,0,0,0
2019,1,"Fleet",3,0,1,-1,-1,34,0,0,0,0,2,5,7,8,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
