"","year","mean_p"
"1",2003,0.303629128745963
"2",2004,0.270262824159833
"3",2005,0.233888774481569
"4",2006,0.207977742558751
"5",2007,0.180808382736157
"6",2008,0.218139870896881
"7",2009,0.263340780828791
"8",2010,0.256230017335853
"9",2011,0.320005499088501
"10",2012,0.309253563489985
"11",2013,0.332227483921184
"12",2014,0.317000339340797
"13",2015,0.298071545380564
"14",2016,0.266440522289103
"15",2017,0.283762708987205
"16",2018,0.269229635956943
"17",2019,0.265024629124609
"18",2021,0.2581545154337
"19",2022,0.206468294158645
"20",2023,0.211420391825189
"21",2024,0.254102735050855
"22",2025,0.237697655645437
