"Quantity","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"OFL","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in"
"ACL","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in","fill in"
"Total Catch","631.1405","784.0346","860.1892","716.1259","796.157","789.4507","1144.4698","1014.2563","980.918","783.6564","NA"
"Total Dead","657.1916","811.6512","881.2766","728.8561","808.287","806.4867","1172.0198","1035.7083","1004.749","803.8564","NA"
"(1-SPR)/(1-SPR_45%)","0.214375","0.231663","0.232147","0.192774","0.21719","0.222145","0.313971","0.297257","0.306203","0.26195",NA
"Exploitation Rate","0.0263862","0.0305892","0.0321323","0.0274715","0.0318857","0.0300696","0.0465987","0.0443387","0.0444974","0.0377363",NA
"Age 3+ Biomass (mt)","24906.6","26533.9","27426.5","26531.3","25349.5","26820.7","25151.4","23359","22580","21301.9","32218.7"
"Spawning Biomass (mt)","11146.8","12969","13731.5","13842.7","13408","13143","13376.7","12432.6","11657.5","11182.9","11010.2"
"Lower Interval","7125.8","8282","8807.3","8931.6","8746","8619","8802.3","8168.4","7642.5","7288.2","7142.9"
"Upper Interval","15167.8","17656","18655.7","18753.8","18070","17667","17951.1","16696.8","15672.5","15077.6","14877.5"
"Recruits","10610.8","10831.9","21762.5","7629.01","10033.7","13158.6","9853.83","18745.2","7822.73","16198.4","16174.8"
"Lower Interval","6231.9","6420.8","13155.9","4459.3","5986","7803.7","5660.59","10566.9","3230.62","5130.7","5123.2"
"Upper Interval","18066.7","18273.5","35999.5","13051.78","16818.5","22188","17153.33","33253.2","18942.24","51140.6","51066.2"
"Fraction Unfished","0.64959","0.755776","0.800215","0.806692","0.781362","0.765917","0.779539","0.724518","0.679347","0.651692","0.641626"
"Lower Interval","0.5181","0.602512","0.640202","0.648303","0.632905","0.622929","0.635474","0.5899","0.551935","0.526641","0.515352"
"Upper Interval","0.78108","0.90904","0.960228","0.965081","0.929819","0.908905","0.923604","0.859136","0.806759","0.776743","0.7679"
