"Label","Total"
"TOTAL","5088.02"
"Catch","6.99642e-10"
"Equil catch","0"
"Survey","-162.875"
"Discard","-65.2093"
"Mean body wt","-23.4248"
"Length comp","2108.36"
"Age comp","3242.7"
"Recruitment","-12.334"
"InitEQ Regime","0"
"Forecast Recruitment","0.563243"
"Parm priors","0.227857"
"Parm softbounds","0.0101585"
"Parm devs","0"
"Crash Pen","0"
