"Year","Age0","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10","Age11","Age12","Age13","Age14","Age15","Age16","Age17","Age18","Age19","Age20","Age21","Age22","Age23","Age24","Age25"
1889,8367.28,5530.95,3656.08,2416.75,1597.53,1056,698.04,461.42,305.009,201.618,133.274,88.0969,58.234,38.494,25.4454,16.82,11.1184,7.34949,4.85818,3.21136,2.12278,1.40321,0.92755,0.613131,0.405293,0.790341
1890,8365.44,5530.95,3655.9,2415.53,1595.04,1053.18,695.646,459.652,303.78,200.785,132.717,87.726,57.9878,38.3308,25.3373,16.7484,11.0711,7.31819,4.83748,3.19768,2.11373,1.39722,0.923595,0.610517,0.403565,0.78697
1891,8363.75,5529.74,3655.88,2415.31,1594.04,1051.32,693.597,457.934,302.516,199.908,132.123,87.3284,57.723,38.155,25.2208,16.6712,11.02,7.28438,4.81511,3.18289,2.10395,1.39076,0.91932,0.60769,0.401696,0.783325
1892,8362.25,5528.62,3655.07,2415.22,1593.72,1050.46,692.203,456.458,301.295,199.014,131.503,86.9093,57.4425,37.9682,25.0967,16.589,10.9655,7.24832,4.79125,3.1671,2.09351,1.38385,0.914755,0.604672,0.399701,0.779434
1893,8360.27,5527.63,3654.25,2414.16,1592.61,1049.06,690.626,454.792,299.805,197.86,130.68,86.345,57.0627,37.7146,24.9281,16.4771,10.8913,7.19923,4.75877,3.14561,2.0793,1.37445,0.908539,0.600562,0.396984,0.774133
1894,8359.13,5526.32,3653.63,2413.9,1592.47,1048.96,690.245,454.157,298.989,197.069,130.047,85.888,56.7477,37.502,24.786,16.3825,10.8286,7.15762,4.73121,3.12737,2.06723,1.36647,0.903259,0.597071,0.394675,0.76963
1895,8358.61,5525.57,3652.8,2413.72,1592.76,1049.4,690.623,454.231,298.796,196.684,129.629,85.5399,56.4923,37.3248,24.666,16.3022,10.775,7.12208,4.70764,3.11176,2.05689,1.35963,0.898736,0.594079,0.392697,0.765769
1896,8357.97,5525.23,3652.27,2412.97,1592.24,1049.13,690.526,454.199,298.652,196.428,129.29,85.2081,56.2258,37.132,24.533,16.2125,10.7151,7.08216,4.68114,3.09419,2.04526,1.35193,0.893642,0.59071,0.390469,0.761422
1897,8356.78,5524.8,3651.98,2412.17,1590.82,1047.74,689.467,453.488,298.184,196.033,128.922,84.853,55.92,36.8989,24.368,16.0997,10.6393,7.03163,4.64757,3.07193,2.03051,1.34217,0.887181,0.586436,0.387642,0.755905
1898,8356.03,5524.01,3651.72,2412.11,1590.57,1047.12,688.818,452.987,297.851,195.816,128.723,84.6509,55.7132,36.7155,24.2264,15.999,10.5703,6.98522,4.6166,3.05134,2.01686,1.33312,0.88119,0.582472,0.385019,0.750786
1899,8357.22,5523.52,3651.38,2413.11,1592.92,1049.65,690.687,454.23,298.674,196.372,129.096,84.8608,55.8055,36.7281,24.204,15.9707,10.5469,6.96819,4.60481,3.04336,2.0115,1.32955,0.878817,0.580897,0.383976,0.748743
1900,8358.46,5524.31,3651.07,2413.02,1593.85,1051.51,692.617,455.652,299.625,197.003,129.521,85.1455,55.9695,36.8058,24.2234,15.9632,10.5331,6.95596,4.59569,3.03698,2.00716,1.32663,0.876868,0.579599,0.383114,0.747052
1901,8359.33,5525.13,3651.58,2412.73,1593.62,1051.93,693.674,456.8,300.476,197.571,129.898,85.3998,56.1398,36.9024,24.2671,15.971,10.5249,6.94468,4.58617,3.03001,2.00232,1.32335,0.874665,0.57813,0.382137,0.745132
