"Year","Total Biomass (mt)","Spawning Biomass (mt)","Total Biomass 3+ (mt)","Fraction Unfished","Age-0 Recruits","Total Mortality (mt)","(1-SPR)/(1-SPR_45%)","Exploitation Rate"
1889,36617.4,17159.8,32693,1,16734.6,114.74432,0.0277043,0.00350975193466491
1890,36518,17099.3,32593.7,0.996474317882493,16730.9,124.01568,0.0300213,0.00380489726542246
1891,36429.8,17043.7,32505.8,0.993234186878635,16727.5,132.47505,0.0321445,0.00407542807745079
1892,36353.1,16994.7,32429.9,0.990378675742142,16724.5,180.95346,0.0437909,0.00557983404204145
1893,36251.8,16930.8,32329.4,0.986654856117204,16720.5,154.26357,0.0375588,0.00477161871237944
1894,36195.5,16893.9,32273.8,0.984504481404212,16718.3,132.79666,0.0324635,0.00411468931455236
1895,36171.5,16877.4,32250.6,0.983542931735801,16717.2,150.43773,0.0367208,0.00466464902978549
1896,36139.1,16856.6,32218.7,0.982330796396228,16715.9,191.93936,0.0466843,0.00595738996297181
1897,36078.2,16818.7,32158.1,0.980122145945757,16713.6,179.09297,0.0437054,0.00556914027881
1898,36041.2,16794.8,32121.5,0.978729355819998,16712.1,71.65609,0.0177344,0.00223078280902199
1899,36105.9,16832.9,32186.6,0.980949661417965,16714.4,59.63458,0.0147553,0.00185277662132689
1900,36170.1,16872.4,32250.8,0.983251553048404,16716.9,68.05765,0.0167906,0.00211026238108822
1901,36214,16900.3,32294.2,0.984877446124081,16718.7,76.48059,0.0188259,0.00236824538152362
1902,36240.8,16917.6,32320.5,0.985885616382475,16719.7,84.90363,0.0208636,0.00262692811064185
1903,36253.7,16926.1,32333,0.986380960151051,16720.3,93.32669,0.0229047,0.00288642223115702
1904,36255.7,16927.7,32334.8,0.986474201331018,16720.4,101.74974,0.0249494,0.00314675643579054
1905,36249.4,16924,32328.4,0.986258581102344,16720.1,91.59504,0.0224883,0.00283326858118558
1906,36252.7,16926,32331.7,0.986375132577303,16720.2,81.44024,0.0200144,0.00251889755255678
1907,36264.2,16933.1,32343.3,0.986788890313407,16720.7,71.28554,0.0175307,0.00220402803671858
1908,36282.2,16944.4,32361.2,0.987447406146925,16721.4,61.13073,0.0150401,0.00188901307738897
1909,36305.3,16958.9,32384.1,0.988292404340377,16722.3,110.28519,0.0269496,0.00340553512371812
1910,36281,16944.7,32359.7,0.987464888868169,16721.4,159.44055,0.0387773,0.00492713313164213
1911,36218.1,16906.1,32296.8,0.985215445401462,16719,208.59496,0.0505642,0.00645868816724877
1912,36125,16848.2,32204.1,0.981841280201401,16715.4,257.7504,0.0623377,0.00800365170894389
1913,36008.5,16775.3,32088.3,0.977592978939148,16710.8,306.9059,0.0741147,0.00956441756029456
1914,35874.1,16690.8,31954.8,0.972668679122134,16705.5,356.0625,0.0859056,0.011142692177701
1915,35726.1,16597.4,31807.9,0.967225725241553,16699.5,405.2192,0.0977166,0.012739577274828
1916,35567.6,16497.3,31650.8,0.961392323919859,16693,523.1842,0.125225,0.0165298886600023
1917,35341.6,16356,31426.4,0.953157962214012,16683.8,641.1504,0.15265,0.0204016495685156
1918,35061.2,16180.5,31147.8,0.942930570286367,16672.1,759.1189,0.180092,0.0243715093842904
1919,34738.1,15978.1,30827.1,0.931135561020525,16658.3,327.1024,0.0823059,0.0106108716032322
1920,34858.1,16041.6,30949.5,0.93483607035047,16662.7,244.415,0.0617953,0.00789721966429183
1921,35035.8,16148.6,31129.2,0.941071574260772,16670,207.4263,0.0522863,0.00666339963763926
1922,35213.2,16259.5,31305.3,0.947534353547244,16677.5,148.3822,0.0375129,0.00473984277422673
1923,35405.3,16379.3,31495.6,0.954515786897283,16685.4,127.7853,0.0321617,0.00405724291647087
1924,35574,16486,31662.5,0.960733808086341,16692.5,234.8674,0.0579503,0.00741784129490722
1925,35612.1,16514.1,31698.9,0.962371356309514,16694.4,327.037,0.0798343,0.0103169826082293
1926,35557.8,16483.2,31643.4,0.960570636021399,16692.4,357.6994,0.0871654,0.0113040760474538
1927,35484.4,16438.6,31569.8,0.957971538129815,16689.6,416.818,0.101135,0.0132030611533808
1928,35373.5,16370.7,31459.6,0.95401461555496,16685.3,336.4416,0.0826366,0.0106944017088583
1929,35354.7,16357.5,31441.4,0.953245375820231,16684.6,730.06296,0.172285,0.0232197981005935
1930,35002.8,16140.2,31090.8,0.940582058065945,16670.3,720.7892,0.172383,0.0231833597076949
1931,34729.6,15962.5,30818.6,0.930226459515845,16658.4,584.37856,0.14341,0.0189618788653605
1932,34635.2,15892.4,30727.2,0.926141330318535,16653.8,448.83541,0.112156,0.0146071041292405
1933,34683.7,15917,30777.9,0.92757491346053,16656,597.53297,0.146624,0.019414351531456
1934,34600.3,15862.9,30695.2,0.924422196062891,16652.8,686.85274,0.167655,0.0223765520341943
1935,34459.1,15767.6,30554,0.918868518281099,16646.7,735.75466,0.179569,0.0240804693329842
1936,34306.7,15663.7,30402.6,0.912813669156983,16640.2,834.3941,0.202296,0.027444827087157
1937,34102.8,15530.3,30200.3,0.905039685777223,16631.6,906.71115,0.219994,0.030023249769042
1938,33883.8,15379.4,29982.9,0.896245876991573,16621.9,1450.31758,0.332473,0.0483714910832508
1939,33239,14988.6,29341,0.873471718784601,16593.8,1184.2884,0.286159,0.0403629187825909
1940,32957.4,14788.4,29062.4,0.861804916141214,16580.1,1580.7992,0.36859,0.0543932779123541
1941,32414.2,14417.5,28525.3,0.840190445110083,16552.3,1395.4188,0.338997,0.048918637139662
1942,32146.4,14229.1,28261.4,0.829211296168953,16539.5,1820.04072,0.424348,0.0644002321187202
1943,31590.5,13847.9,27711.5,0.806996585041784,16509.7,1702.86502,0.411128,0.0614497598469949
1944,31260.3,13600.4,27385.3,0.792573340015618,16491.8,2344.10907,0.528353,0.0855973485775215
1945,30480.2,13056.3,26612.2,0.760865511253045,16444.9,1670.58858,0.423486,0.0627752902803977
1946,30429.3,12996.8,26566.4,0.757398104873017,16446.3,2267.4542,0.532044,0.0853504501927247
1947,29902,12648,26047.7,0.737071527640182,16419.4,1701.8672,0.439378,0.0653365633050135
1948,29952.5,12675.5,26098.9,0.738674110420867,16434.6,2199.1831,0.529658,0.0842634402216185
1949,29589.5,12432.3,25740.2,0.724501451065863,16425,1818.9658,0.466838,0.0706663429188584
1950,29608.1,12457,25756.3,0.725940861781606,16452.1,1581.3961,0.420823,0.0613984190275777
1951,29834.2,12594.4,25981.7,0.733947948111283,16503.9,1721.036,0.445394,0.0662403152988449
1952,29913.2,12633.9,26052.9,0.736249839741722,16560.4,1300.2732,0.355832,0.0499089621500869
1953,30333,12906.6,26459.6,0.75214163335237,16656.3,744.5088,0.219215,0.0281375682172066
1954,31154.5,13430.9,27264.5,0.78269560251285,16786.6,988.208,0.27071,0.0362452273102386
1955,31634.3,13728.2,27720,0.800020979265493,16876.4,1470.8032,0.369893,0.0530592784992785
1956,31645.7,13685.6,27704.3,0.797538432848868,16888.5,1149.5714,0.303019,0.0414943312049032
1957,31944.9,13844.6,27988.1,0.806804275108102,16790.6,1461.244,0.364532,0.0522094747410507
1958,31942.5,13816.4,27991.3,0.805160899311181,16543.9,1447.7459,0.362662,0.0517212812552472
1959,31939.6,13810.6,28021.7,0.8048229000338,16198.6,1981.1172,0.461113,0.0706993936841805
1960,31444.4,13505.3,27594.1,0.787031317381321,15436.6,2242.8029,0.512067,0.0812783493572902
1961,30708.9,13103.7,26971.3,0.763627781209571,14067.3,2159.6552,0.509298,0.0800723435651971
1962,29955.8,12793,26435.9,0.745521509574704,12772.8,1385.7084,0.372179,0.0524176744502741
1963,29634.1,12907.4,26411.3,0.752188253942354,14094.4,1116.2826,0.310518,0.0422653409714781
