"Year","Age0","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10","Age11","Age12","Age13","Age14","Age15","Age16","Age17","Age18","Age19","Age20","Age21","Age22","Age23","Age24","Age25"
1889,49.5453,632.666,1645.01,2325.75,2482.09,2263.05,1871.6,1451.58,1077.36,775.245,545.602,377.84,258.582,175.424,118.238,79.3178,53.0146,35.3371,23.5056,15.6114,10.3563,6.86417,4.54657,3.00998,1.99196,3.88961
1890,49.5345,632.666,1644.93,2324.58,2478.22,2257,1865.18,1446.01,1073.02,772.044,543.321,376.249,257.489,174.681,117.736,78.9805,52.789,35.1866,23.4055,15.5449,10.3122,6.83491,4.52719,2.99715,1.98347,3.87302
1891,49.5244,632.527,1644.92,2324.37,2476.67,2253.01,1859.69,1440.61,1068.56,768.671,540.89,374.544,256.313,173.879,117.194,78.6164,52.5454,35.0241,23.2973,15.473,10.2645,6.80327,4.50623,2.98327,1.97428,3.85509
1892,49.5155,632.399,1644.55,2324.28,2476.18,2251.18,1855.95,1435.97,1064.24,765.234,538.354,372.746,255.067,173.028,116.618,78.2286,52.2856,34.8507,23.1819,15.3962,10.2135,6.76951,4.48386,2.96845,1.96447,3.83593
1893,49.5039,632.285,1644.18,2323.26,2474.44,2248.17,1851.72,1430.73,1058.98,760.795,534.983,370.326,253.381,171.872,115.834,77.701,51.9321,34.6146,23.0247,15.2917,10.1442,6.72352,4.45338,2.94828,1.95112,3.80985
1894,49.4971,632.136,1643.91,2323,2474.24,2247.97,1850.7,1428.73,1056.1,757.753,532.394,368.366,251.982,170.903,115.174,77.255,51.6327,34.4146,22.8913,15.2031,10.0853,6.68446,4.42751,2.93114,1.93977,3.78768
1895,49.494,632.05,1643.53,2322.83,2474.68,2248.9,1851.71,1428.96,1055.42,756.274,530.681,366.873,250.848,170.096,114.616,76.8761,51.3776,34.2437,22.7773,15.1272,10.0349,6.65101,4.40533,2.91645,1.93005,3.76869
1896,49.4902,632.011,1643.3,2322.11,2473.87,2248.32,1851.45,1428.86,1054.91,755.29,529.295,365.45,249.665,169.217,113.999,76.453,51.0915,34.0517,22.6491,15.0418,9.97813,6.61336,4.38037,2.89991,1.9191,3.74729
1897,49.4832,631.962,1643.16,2321.34,2471.67,2245.34,1848.61,1426.62,1053.25,753.77,527.787,363.927,248.307,168.155,113.232,75.9213,50.7303,33.8088,22.4867,14.9336,9.90617,6.56559,4.3487,2.87893,1.90521,3.72014
1898,49.4787,631.872,1643.05,2321.28,2471.28,2244.02,1846.87,1425.05,1052.08,752.936,526.97,363.06,247.388,167.319,112.574,75.4461,50.4014,33.5857,22.3368,14.8335,9.83954,6.52133,4.31933,2.85947,1.89232,3.69494
1899,49.4858,631.815,1642.89,2322.25,2474.93,2249.45,1851.88,1428.96,1054.99,755.076,528.497,363.96,247.798,167.377,112.47,75.313,50.2898,33.5038,22.2798,14.7947,9.81343,6.50387,4.3077,2.85174,1.88719,3.68489
1900,49.4931,631.906,1642.76,2322.16,2476.38,2253.43,1857.06,1433.43,1058.34,757.502,530.239,365.181,248.527,167.731,112.56,75.2778,50.2241,33.445,22.2357,14.7637,9.79225,6.48959,4.29814,2.84537,1.88295,3.67657
1901,49.4983,631.999,1642.98,2321.88,2476.01,2254.32,1859.89,1437.04,1061.35,759.685,531.781,366.272,249.283,168.171,112.763,75.3145,50.1848,33.3907,22.1896,14.7298,9.76864,6.47353,4.28735,2.83815,1.87815,3.66712
1902,49.5014,632.065,1643.22,2322.12,2475.45,2253.57,1860.18,1438.84,1063.71,761.613,533.15,367.223,249.949,168.63,113.023,75.4264,50.1934,33.354,22.1466,14.6946,9.74313,6.45588,4.27538,2.83013,1.87279,3.65656
1903,49.503,632.105,1643.39,2322.38,2475.44,2252.63,1859.1,1438.67,1064.73,763.08,534.339,368.054,250.52,169.028,113.296,75.5767,50.2521,33.3492,22.1152,14.6615,9.71678,6.43697,4.26237,2.82133,1.8669,3.6449
1904,49.5033,632.125,1643.49,2322.53,2475.43,2252.19,1857.87,1437.44,1064.29,763.581,535.203,368.761,251.008,169.36,113.527,75.7349,50.3361,33.3775,22.105,14.636,9.69177,6.41751,4.24852,2.81184,1.8605,3.63217
1905,49.5026,632.129,1643.53,2322.58,2475.32,2251.76,1857.05,1436.09,1063.07,763.033,535.389,369.242,251.411,169.637,113.714,75.8653,50.4254,33.4227,22.1167,14.6246,9.67185,6.39893,4.23432,2.80181,1.85365,3.6184
1906,49.503,632.12,1643.55,2322.75,2475.71,2252.18,1857.25,1435.93,1062.45,762.435,535.204,369.509,251.834,169.973,113.943,76.0195,50.5317,33.4948,22.1551,14.6379,9.66799,6.38825,4.22369,2.79352,1.84775,3.60621
1907,49.5043,632.125,1643.53,2322.87,2476.22,2253.05,1858.15,1436.57,1062.71,762.269,534.985,369.521,252.112,170.325,114.213,76.202,50.6539,33.5783,22.2115,14.669,9.68058,6.38817,4.21827,2.78759,1.843,3.59568
1908,49.5064,632.142,1643.55,2322.95,2476.68,2254.03,1859.42,1437.75,1063.56,762.74,535.069,369.509,252.216,170.578,114.493,76.412,50.7951,33.6726,22.2755,14.7121,9.70491,6.39896,4.21985,2.78509,1.8398,3.587
1909,49.509,632.168,1643.6,2323.08,2477.1,2254.98,1860.79,1439.22,1064.82,763.631,535.6,369.707,252.304,170.714,114.708,76.6289,50.9547,33.7795,22.3467,14.7602,9.73716,6.41753,4.22862,2.78721,1.83886,3.58055
1910,49.5064,632.202,1643.64,2322.65,2475.59,2252.77,1858.83,1437.9,1064.05,763.166,535.255,369.399,251.977,170.46,114.588,76.6308,51.0049,33.823,22.3762,14.7799,9.75091,6.42694,4.23304,2.78783,1.83686,3.56905
1911,49.4993,632.169,1643.69,2322.19,2473.47,2248.8,1854.26,1434.01,1061.22,761.254,533.958,368.485,251.304,169.924,114.205,76.4085,50.9115,33.7935,22.3633,14.7719,9.7458,6.42404,4.23136,2.78555,1.83384,3.55353
1912,49.4887,632.078,1643.56,2321.76,2471.31,2244.27,1848.23,1428.09,1056.49,757.858,531.644,366.913,250.217,169.155,113.634,76.0111,50.6689,33.6684,22.3019,14.7358,9.72224,6.40862,4.22151,2.77922,1.82891,3.53471
1913,49.4751,631.942,1643.29,2321.07,2469.16,2239.68,1841.72,1421.04,1050.26,753.095,528.292,364.641,248.682,168.106,112.906,75.4879,50.31,33.4445,22.1773,14.6675,9.68006,6.38101,4.20339,2.76749,1.82128,3.51244
1914,49.4593,631.769,1642.9,2320.16,2466.72,2235.07,1835.15,1413.62,1043.19,747.269,523.988,361.657,246.673,166.756,111.991,74.8607,49.8679,33.1439,21.9875,14.5575,9.61668,6.34112,4.17724,2.75032,1.81011,3.48616
1915,49.4416,631.566,1642.41,2319.08,2464.03,2230.17,1828.54,1406.13,1035.84,740.85,518.946,358.023,244.183,165.089,110.877,74.1104,49.3576,32.7888,21.7476,14.4048,9.52601,6.28735,4.14305,2.72789,1.79538,3.45494
1916,49.4224,631.34,1641.85,2317.86,2461.14,2225.02,1821.67,1398.6,1028.45,734.235,513.497,353.89,241.257,163.103,109.553,73.2287,48.7667,32.3893,21.4722,14.2195,9.40753,6.21577,4.09981,2.70022,1.77722,3.4182
1917,49.395,631.096,1641.17,2315.79,2455.67,2215.93,1810.67,1387.52,1018.43,725.7,506.582,348.558,237.366,160.399,107.73,72.0166,47.9614,31.852,21.1113,13.9738,9.24303,6.10972,4.03415,2.65952,1.75095,3.36662
1918,49.3604,630.745,1640.44,2313.52,2449.2,2204.4,1796.35,1373.21,1005.79,715.302,498.34,342.235,232.677,157.059,105.438,70.4791,46.9413,31.1756,20.6614,13.6729,9.03962,5.97403,3.94626,2.60435,1.71627,3.30022
1919,49.3195,630.302,1639.43,2311.15,2442.42,2191.83,1779.93,1356.33,990.787,703.049,488.821,335.024,227.336,153.199,102.733,68.6386,45.712,30.3616,20.1225,13.3152,8.80119,5.81362,3.8395,2.53498,1.67234,3.219
1920,49.3325,629.781,1638.62,2314.46,2455.36,2209.54,1794.46,1364.84,994.584,704.123,488.558,334.205,226.337,152.237,101.921,68.0218,45.2802,30.0727,19.9327,13.1901,8.71779,5.75726,3.80042,2.50866,1.65569,3.19247
1921,49.3541,629.948,1637.32,2314.16,2461.67,2225.62,1813.59,1379.97,1003.91,709.074,490.896,335.126,226.535,152.075,101.622,67.7117,45.025,29.8895,19.81,13.11,8.6652,5.72207,3.77637,2.49157,1.64407,3.17506
1922,49.3763,630.224,1637.78,2312.71,2462.58,2233.27,1828.85,1396.47,1016.44,716.752,495.075,337.234,227.503,152.44,101.67,67.617,44.8891,29.7671,19.7199,13.0496,8.62601,5.69642,3.75915,2.47967,1.63542,3.16097
1923,49.3999,630.507,1638.55,2314.04,2463.25,2237.54,1838.74,1411.29,1030.93,727.373,501.602,340.899,229.469,153.45,102.152,67.8071,44.9311,29.7466,19.6851,13.0206,8.60631,5.68391,3.75104,2.47413,1.63141,3.15341
1924,49.4208,630.809,1639.3,2315.33,2465.37,2239.25,1843.43,1419.95,1042.67,738.333,509.449,345.678,232.157,154.906,102.915,68.1864,45.0956,29.7998,19.6883,13.0087,8.59451,5.67576,3.74599,2.47089,1.62915,3.14848
1925,49.4264,631.075,1640.01,2315.25,2462.98,2235.3,1838.66,1418.26,1044.97,743.76,515.04,349.663,234.454,156.082,103.468,68.4158,45.1629,29.7868,19.6429,12.9577,8.55157,5.64483,3.72534,2.45749,1.62038,3.13092
1926,49.4207,631.146,1640.63,2315.31,2459.83,2228.35,1830.34,1410.19,1040.28,742.863,517.03,352.263,236.321,157.068,103.883,68.5382,45.1529,29.7246,19.5641,12.8815,8.4875,5.59649,3.69175,2.43518,1.6058,3.10248
1927,49.4123,631.073,1640.79,2315.85,2458.77,2223.76,1822.83,1402.25,1033.16,738.656,515.788,353.199,237.792,158.128,104.413,68.7299,45.1792,29.6821,19.4996,12.8143,8.42743,5.54785,3.65572,2.41031,1.5893,3.07069
1928,49.3995,630.967,1640.55,2315.41,2457.17,2219.45,1815.58,1393.51,1025.04,731.923,511.686,351.536,237.871,158.743,104.874,68.9203,45.2003,29.6304,19.4266,12.7424,8.364,5.49579,3.61553,2.38124,1.56942,3.03213
1929,49.3974,630.803,1640.34,2315.91,2459.45,2222.26,1816.53,1391.79,1021.62,728.341,508.557,349.804,237.477,159.284,105.606,69.4379,45.4656,29.736,19.4527,12.734,8.34284,5.47133,3.5927,2.36236,1.5553,3.00338
1930,49.355,630.775,1639.62,2311.58,2446.83,2203.81,1797.14,1373.8,1005.81,715.22,498.479,342.39,232.693,156.575,104.331,68.8406,45.0967,29.446,19.2185,12.5527,8.20751,5.37248,3.52098,2.31085,1.51891,2.92901
