"Year","Age0","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10","Age11","Age12","Age13","Age14","Age15","Age16","Age17","Age18","Age19","Age20","Age21","Age22","Age23","Age24","Age25"
1889,8367.28,5509.58,3627.88,2388.85,1572.98,1035.76,682.012,449.083,295.707,194.714,128.213,84.4239,55.5905,36.6045,24.1029,15.871,10.4505,6.88135,4.53115,2.98362,1.96462,1.29364,0.851819,0.560895,0.369332,0.712065
1890,8365.44,5509.58,3627.81,2387.98,1570.52,1032.59,679.326,447.184,294.436,193.872,127.657,84.0573,55.3488,36.4454,23.9981,15.802,10.4051,6.8514,4.51143,2.97063,1.95607,1.28801,0.848111,0.558454,0.367724,0.708966
1891,8363.75,5508.38,3627.81,2387.86,1569.76,1030.72,677.03,445.262,293.079,192.962,127.054,83.659,55.0861,36.2722,23.884,15.7268,10.3556,6.81882,4.48997,2.9565,1.94676,1.28188,0.844076,0.555797,0.365975,0.705593
1892,8362.25,5507.26,3627.01,2387.8,1569.51,1030,675.609,443.61,291.716,192.003,126.411,83.2326,54.8045,36.0865,23.7616,15.6462,10.3025,6.78385,4.46694,2.94133,1.93677,1.2753,0.839745,0.552945,0.364097,0.701972
1893,8360.27,5506.27,3626.24,2386.9,1568.42,1028.49,673.993,441.871,290.092,190.75,125.544,82.6544,54.4218,35.8338,23.5951,15.5365,10.2302,6.73624,4.43558,2.92069,1.92318,1.26635,0.833849,0.549063,0.36154,0.697042
1894,8359.13,5504.97,3625.61,2386.6,1568.4,1028.5,673.619,441.247,289.244,189.88,124.852,82.1715,54.0987,35.6199,23.4538,15.4433,10.1688,6.69579,4.40895,2.90314,1.91162,1.25874,0.828839,0.545763,0.359368,0.692854
1895,8358.61,5504.22,3624.76,2386.34,1568.65,1029.07,674.121,441.353,289.071,189.481,124.385,81.7863,53.8274,35.4379,23.3331,15.3636,10.1162,6.66115,4.38613,2.88811,1.90172,1.25222,0.824546,0.542936,0.357506,0.689264
1896,8357.97,5503.88,3624.26,2385.64,1568.08,1028.73,674.068,441.389,288.948,189.243,124.043,81.427,53.5399,35.237,23.1987,15.2745,10.0574,6.62236,4.36057,2.87127,1.89063,1.24492,0.819736,0.539769,0.35542,0.685243
1897,8356.78,5503.45,3624.01,2384.99,1566.71,1027.18,672.858,440.664,288.514,188.862,123.689,81.0731,53.2196,34.9928,23.0303,15.1622,9.98313,6.57333,4.32824,2.84998,1.87661,1.23568,0.813652,0.535763,0.352782,0.680156
1898,8356.03,5502.67,3623.73,2384.92,1566.55,1026.63,672.143,440.079,288.177,188.667,123.499,80.8806,53.0136,34.8001,22.8816,15.0594,9.91448,6.52789,4.29825,2.8302,1.86358,1.2271,0.808,0.532041,0.350331,0.675429
1899,8357.22,5502.18,3623.29,2385.57,1568.87,1029.56,674.328,441.39,288.974,189.222,123.88,81.0889,53.1057,34.8084,22.8495,15.0239,9.88787,6.50976,4.28616,2.8222,1.85829,1.22361,0.805702,0.530526,0.349333,0.673505
1900,8358.46,5502.96,3622.97,2385.38,1569.57,1031.42,676.535,443.027,289.969,189.833,124.301,81.3767,53.2672,34.8851,22.8655,15.0098,9.86916,6.49531,4.27624,2.81557,1.85389,1.2207,0.803785,0.529263,0.348501,0.671899
1901,8359.33,5503.78,3623.48,2385.11,1569.27,1031.66,677.569,444.338,290.949,190.423,124.661,81.6261,53.4383,34.9793,22.9082,15.0152,9.85654,6.48083,4.26531,2.8081,1.84891,1.2174,0.801605,0.527825,0.347553,0.67007
1902,8359.86,5504.35,3624.01,2385.38,1568.92,1031.24,677.531,444.878,291.716,191.004,125.007,81.8348,53.5839,35.0798,22.9623,15.0381,9.85679,6.47036,4.25436,2.79997,1.84339,1.21372,0.799167,0.526216,0.346492,0.668022
1903,8360.13,5504.7,3624.38,2385.67,1568.93,1030.78,677.06,444.713,291.975,191.443,125.346,82.034,53.7027,35.1635,23.0204,15.0686,9.86849,6.46833,4.24604,2.79184,1.83743,1.20968,0.79648,0.524437,0.345318,0.665754
1904,8360.18,5504.88,3624.61,2385.85,1568.94,1030.56,676.568,444.264,291.771,191.549,125.592,82.2285,53.8151,35.2294,23.0675,15.1016,9.88509,6.47379,4.24326,2.78543,1.83146,1.20536,0.79356,0.522496,0.344034,0.663269
1905,8360.06,5504.91,3624.72,2385.94,1568.89,1030.35,676.229,443.8,291.38,191.351,125.618,82.3617,53.9243,35.2911,23.1029,15.1273,9.90335,6.48246,4.2454,2.78265,1.82663,1.20104,0.790454,0.520402,0.342643,0.660571
1906,8360.12,5504.83,3624.75,2386.09,1569.16,1030.59,676.323,443.747,291.191,191.172,125.539,82.4129,54.0338,35.3772,23.1528,15.1567,9.92426,6.4971,4.25282,2.78519,1.82556,1.19836,0.787942,0.518578,0.34141,0.658158
1907,8360.35,5504.87,3624.71,2386.18,1569.47,1031.04,676.715,443.978,291.271,191.125,125.473,82.3949,54.0895,35.4635,23.2188,15.1957,9.94762,6.51349,4.26417,2.79121,1.82798,1.19815,0.786509,0.517142,0.340353,0.656036
1908,8360.69,5505.02,3624.74,2386.23,1569.74,1031.51,677.247,444.406,291.539,191.255,125.493,82.3849,54.0999,35.5147,23.285,15.2452,9.97731,6.53151,4.27669,2.79981,1.83268,1.20023,0.786694,0.516414,0.33955,0.654218
1909,8361.15,5505.25,3624.84,2386.32,1569.98,1031.97,677.797,444.925,291.935,191.508,125.63,82.432,54.1155,35.5361,23.3282,15.295,10.014,6.5537,4.29028,2.80919,1.83908,1.20381,0.788383,0.516747,0.339211,0.652766
1910,8360.7,5505.55,3624.96,2386.02,1568.99,1030.77,676.943,444.47,291.729,191.405,125.557,82.3645,54.0432,35.4785,23.2977,15.2941,10.0275,6.56522,4.29664,2.81273,1.84172,1.20571,0.789226,0.516867,0.338782,0.650344
1911,8359.51,5505.26,3625.13,2385.73,1567.74,1028.76,675.004,443.092,290.881,190.906,125.25,82.1591,53.8954,35.3632,23.2153,15.2448,10.0077,6.56146,4.29593,2.81149,1.8405,1.20512,0.788953,0.516427,0.33821,0.647231
1912,8357.71,5504.47,3624.9,2385.46,1566.48,1026.57,672.529,441.001,289.428,189.987,124.683,81.8,53.6571,35.1983,23.0951,15.1615,9.95609,6.5358,4.28516,2.80558,1.83613,1.20199,0.787039,0.515249,0.337267,0.643571
1913,8355.42,5503.28,3624.35,2384.93,1565.23,1024.37,669.929,438.559,287.509,188.671,123.84,81.2706,53.3182,34.9741,22.9424,15.0535,9.88232,6.4894,4.26005,2.79307,1.82868,1.19679,0.78346,0.512992,0.335839,0.639311
1914,8352.74,5501.77,3623.54,2384.19,1563.8,1022.16,667.314,436.032,285.361,187.053,122.741,80.562,52.8682,34.6843,22.7511,14.9243,9.79245,6.42855,4.22142,2.7712,1.81692,1.18957,0.778522,0.509648,0.333706,0.634343
1915,8349.76,5500.01,3622.51,2383.26,1562.21,1019.81,664.684,433.492,283.158,185.286,121.444,79.6865,52.3021,34.3227,22.5174,14.7702,9.68895,6.3573,4.17344,2.74056,1.79907,1.17955,0.772275,0.505418,0.330864,0.628459
