"Year","Age0","Age1","Age2","Age3","Age4","Age5","Age6","Age7","Age8","Age9","Age10","Age11","Age12","Age13","Age14","Age15","Age16","Age17","Age18","Age19","Age20","Age21","Age22","Age23","Age24","Age25"
1889,68.2927,340.131,1188.79,2036.97,2543.7,2659.93,2485.32,2149.96,1759.36,1381.13,1050.14,778.69,565.967,404.752,285.658,199.6,138.189,94.9409,64.8102,44.0038,29.7413,20.0245,13.4384,8.99355,6.00473,11.8639
1890,68.2777,340.131,1188.76,2036.23,2539.72,2651.79,2475.54,2140.87,1751.79,1375.16,1045.58,775.308,563.507,402.992,284.416,198.732,137.588,94.5278,64.5282,43.8122,29.6119,19.9373,13.3799,8.9544,5.97859,11.8123
1891,68.2639,340.057,1188.76,2036.13,2538.49,2647.01,2467.17,2131.66,1743.72,1368.71,1040.64,771.634,560.832,401.078,283.064,197.787,136.934,94.0783,64.2213,43.6039,29.471,19.8425,13.3162,8.91181,5.95015,11.7561
1892,68.2516,339.988,1188.5,2036.07,2538.09,2645.15,2461.99,2123.75,1735.61,1361.91,1035.38,767.702,557.965,399.024,281.613,196.773,136.231,93.5957,63.8918,43.3801,29.3198,19.7407,13.2479,8.86607,5.91962,11.6958
1893,68.2355,339.927,1188.25,2035.31,2536.34,2641.28,2456.1,2115.43,1725.95,1353.02,1028.28,762.369,554.068,396.23,279.639,195.393,135.276,92.9388,63.4433,43.0756,29.114,19.6021,13.1549,8.80382,5.87805,11.6136
1894,68.2262,339.846,1188.04,2035.05,2536.29,2641.3,2454.74,2112.44,1720.91,1346.85,1022.61,757.915,550.779,393.864,277.965,194.221,134.464,92.3808,63.0623,42.8169,28.9391,19.4843,13.0759,8.75092,5.84273,11.5439
1895,68.222,339.8,1187.76,2034.83,2536.7,2642.75,2456.57,2112.95,1719.87,1344.02,1018.79,754.362,548.017,391.852,276.535,193.219,133.769,91.9029,62.7359,42.5952,28.7892,19.3834,13.0081,8.70559,5.81247,11.4841
1896,68.2167,339.779,1187.6,2034.24,2535.78,2641.87,2456.38,2113.12,1719.15,1342.33,1015.98,751.048,545.09,389.631,274.941,192.099,132.991,91.3677,62.3703,42.3469,28.6214,19.2703,12.9322,8.65481,5.77856,11.417
1897,68.207,339.753,1187.52,2033.67,2533.56,2637.91,2451.96,2109.65,1716.56,1339.63,1013.09,747.783,541.829,386.931,272.946,190.687,132.008,90.6912,61.908,42.0328,28.409,19.1273,12.8363,8.59057,5.73566,11.3323
1898,68.2009,339.704,1187.43,2033.62,2533.31,2636.5,2449.36,2106.85,1714.55,1338.25,1011.53,746.008,539.731,384.8,271.184,189.393,131.101,90.0644,61.479,41.7412,28.2118,18.9945,12.7471,8.53089,5.69581,11.2535
1899,68.2106,339.674,1187.28,2034.18,2537.06,2644.01,2457.32,2113.13,1719.3,1342.18,1014.65,747.929,540.669,384.891,270.803,188.947,130.749,89.8142,61.3061,41.623,28.1317,18.9405,12.7108,8.5066,5.67959,11.2215
1900,68.2207,339.722,1187.18,2034.01,2538.19,2648.8,2465.37,2120.96,1725.22,1346.51,1018.1,750.584,542.314,385.739,270.993,188.769,130.501,89.6148,61.1642,41.5253,28.0651,18.8955,12.6806,8.48634,5.66606,11.1947
1901,68.2278,339.773,1187.34,2033.78,2537.7,2649.41,2469.13,2127.24,1731.05,1350.7,1021.05,752.884,544.055,386.782,271.499,188.838,130.335,89.415,61.0078,41.4152,27.9897,18.8444,12.6462,8.46329,5.65065,11.1643
1902,68.2322,339.808,1187.52,2034.01,2537.13,2648.32,2468.99,2129.82,1735.61,1354.82,1023.88,754.809,545.538,387.892,272.14,189.126,130.338,89.2705,60.8512,41.2953,27.9061,18.7875,12.6078,8.43749,5.6334,11.1301
1903,68.2343,339.83,1187.64,2034.26,2537.15,2647.15,2467.28,2129.03,1737.15,1357.94,1026.65,756.646,546.747,388.818,272.829,189.509,130.493,89.2425,60.7323,41.1753,27.8159,18.725,12.5654,8.40897,5.61431,11.0923
1904,68.2348,339.84,1187.71,2034.42,2537.17,2646.59,2465.48,2126.88,1735.94,1358.69,1028.67,758.44,547.892,389.547,273.387,189.924,130.712,89.3179,60.6925,41.0808,27.7256,18.6581,12.5193,8.37784,5.59343,11.0509
