"year","month","fleet","sex","partition","Nsamp","F-10","F-12","F-14","F-16","F-18","F-20","F-22","F-24","F-26","F-28","F-30","F-32","F-34","F-36","F-38","F-40","F-42","F-44","F-46","F-48","F-50","F-52","F-54","F-56","F-58","F-60","F-62","F-64","F-66","F-68","F-70","F-72","F-74","F-76","F-78","F-80","F-82","F-84","F-86","F-88","F-90","F-92","F-94","F-96","F-98","F-100","F-102","F-104","F-106","F-108","F-110","F-112","F-114","F-116","F-118","F-120","F-122","F-124","F-126","F-128","F-130","M-10","M-12","M-14","M-16","M-18","M-20","M-22","M-24","M-26","M-28","M-30","M-32","M-34","M-36","M-38","M-40","M-42","M-44","M-46","M-48","M-50","M-52","M-54","M-56","M-58","M-60","M-62","M-64","M-66","M-68","M-70","M-72","M-74","M-76","M-78","M-80","M-82","M-84","M-86","M-88","M-90","M-92","M-94","M-96","M-98","M-100","M-102","M-104","M-106","M-108","M-110","M-112","M-114","M-116","M-118","M-120","M-122","M-124","M-126","M-128","M-130"
2004,1,"Fleet",3,0,48,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,3,1,2,3,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,2,0,0,0,1,0,1,1,0,0,4,4,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,1,"Fleet",3,0,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,1,3,5,7,10,5,8,8,9,7,10,5,6,5,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,6,1,1,3,1,2,6,2,8,8,19,13,19,6,3,5,4,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,1,"Fleet",3,0,506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,4,1,4,5,10,16,33,22,28,27,27,20,17,16,13,12,7,7,2,2,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,7,6,6,9,6,9,8,10,8,30,41,32,18,10,7,0,1,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,1,"Fleet",3,0,651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,3,3,6,10,9,37,45,46,39,19,30,21,15,13,11,8,6,3,5,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,4,5,4,6,2,10,5,12,20,77,59,40,30,15,10,4,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,1,"Fleet",3,0,821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,5,9,10,15,55,51,54,49,44,38,22,17,19,13,15,9,3,1,3,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,6,5,7,7,9,7,20,38,80,71,41,38,20,7,5,4,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,1,"Fleet",3,0,979,0,0,0,1,0,0,0,0,1,2,1,0,1,1,1,2,1,1,0,1,3,3,6,4,16,44,58,59,55,49,36,35,36,20,13,20,6,8,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,2,6,4,1,5,6,8,5,14,4,8,9,17,26,38,110,82,68,28,15,14,4,5,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,1,"Fleet",3,0,832,0,0,0,0,1,0,0,1,0,0,2,0,2,0,1,3,1,1,4,0,1,3,4,11,10,31,45,30,28,31,34,23,11,13,15,6,1,6,3,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,6,9,10,7,10,9,12,13,13,15,13,15,16,20,57,78,74,63,29,15,4,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,1,"Fleet",3,0,1579,0,0,0,0,0,0,0,0,0,0,2,1,3,4,4,6,1,3,6,7,6,9,49,79,87,106,66,83,56,45,34,34,27,21,10,14,7,8,6,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,4,2,1,6,5,10,7,10,11,15,16,61,135,140,119,94,53,45,24,14,5,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,1,"Fleet",3,0,1671,0,0,0,0,0,0,0,1,2,0,0,0,1,1,0,0,0,0,3,0,1,8,38,88,103,106,98,74,77,68,57,33,30,32,19,16,4,7,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,3,2,2,13,73,156,134,134,97,65,46,26,12,7,7,4,4,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,1,"Fleet",3,0,4239,0,0,0,0,0,1,0,1,1,0,2,0,0,0,0,0,0,1,0,0,2,16,60,170,191,214,216,219,225,202,171,151,120,91,74,35,38,19,6,12,9,5,3,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,5,18,133,348,349,330,262,179,162,92,35,22,12,7,9,5,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,1,"Fleet",3,0,6739,0,0,0,0,0,0,0,0,0,0,1,4,2,2,6,4,1,8,4,6,9,28,121,159,231,337,296,287,299,299,265,225,179,163,122,106,74,57,31,22,13,6,3,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,4,2,3,9,4,6,16,16,18,30,36,63,246,509,571,570,437,310,217,132,75,32,19,10,11,1,5,3,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,1,"Fleet",3,0,9548,0,0,0,0,0,0,0,0,1,2,0,0,0,2,4,3,4,10,11,11,12,38,154,283,349,346,372,384,351,378,296,272,252,215,147,111,90,60,38,23,16,11,6,3,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,2,4,10,8,7,18,17,32,51,147,435,870,982,917,672,486,288,166,82,37,20,12,6,3,5,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,1,"Fleet",3,0,7842,0,0,0,0,0,0,0,0,0,0,1,2,1,1,2,1,3,5,3,4,18,23,100,225,240,297,314,361,309,283,246,220,183,157,124,110,77,55,38,35,20,16,3,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,4,5,1,8,9,13,19,34,34,64,108,382,791,850,710,484,397,209,111,58,31,11,7,6,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,1,"Fleet",3,0,6002,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,2,2,6,0,9,13,84,162,204,252,308,300,265,259,237,189,168,133,122,105,56,43,39,27,23,15,12,5,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,5,2,3,6,4,8,11,12,35,68,268,520,575,482,382,234,145,79,48,27,16,7,4,4,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,1,"Fleet",3,0,4373,0,0,0,0,0,0,0,1,0,1,2,2,3,1,3,3,4,4,4,8,7,15,56,124,162,173,187,183,175,170,160,142,110,102,69,58,63,45,34,24,14,17,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,2,6,8,2,5,10,15,26,46,200,381,408,370,308,172,99,79,39,21,8,7,4,5,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,1,"Fleet",3,0,3012,0,0,0,0,0,0,0,0,0,1,1,1,5,3,3,4,2,4,4,5,4,12,46,105,123,106,101,104,124,124,116,104,79,72,59,67,38,27,32,25,10,12,10,6,5,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,3,5,5,7,7,14,21,24,26,109,276,268,230,167,117,63,50,26,21,6,6,1,3,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,1,"Fleet",3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
