"year","month","fleet","sex","partition","Nsamp","U-10","U-12","U-14","U-16","U-18","U-20","U-22","U-24","U-26","U-28","U-30","U-32","U-34","U-36","U-38","U-40","U-42","U-44","U-46","U-48","U-50","U-52","U-54","U-56","U-58","U-60","U-62","U-64","U-66","U-68","U-70","U-72","U-74","U-76","U-78","U-80","U-82","U-84","U-86","U-88","U-90","U-92","U-94","U-96","U-98","U-100","U-102","U-104","U-106","U-108","U-110","U-112","U-114","U-116","U-118","U-120","U-122","U-124","U-126","U-128","U-130"
1983,1,"Fleet",0,0,164,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,2,11,15,17,15,10,10,9,6,9,8,7,11,3,10,5,5,0,4,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984,1,"Fleet",0,0,439,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4,1,8,6,14,39,29,45,48,47,36,35,21,23,15,24,5,7,13,6,1,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,1,"Fleet",0,0,605,0,0,2,0,0,0,0,1,0,0,0,2,0,3,3,0,2,0,3,6,11,13,35,39,53,56,49,41,49,51,27,26,30,16,16,18,17,6,9,8,5,2,3,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1986,1,"Fleet",0,0,668,0,0,0,0,0,0,0,2,1,0,1,0,1,5,3,5,4,17,11,13,17,21,33,36,53,65,51,47,48,47,40,27,19,12,16,16,13,10,3,7,9,1,7,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,1,"Fleet",0,0,401,0,1,0,0,0,3,4,4,1,2,0,1,1,3,0,3,3,2,6,8,13,15,39,35,26,34,18,24,20,21,17,13,19,12,8,5,6,5,8,2,0,0,2,6,2,5,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1988,1,"Fleet",0,0,417,0,0,0,1,0,0,0,0,0,1,0,1,3,2,1,0,0,1,2,6,13,17,40,49,54,43,36,27,25,21,12,13,6,9,4,5,4,2,0,3,3,2,3,1,0,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1989,1,"Fleet",0,0,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,6,6,25,30,40,37,39,28,20,16,16,15,4,3,9,2,4,1,1,3,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,1,"Fleet",0,0,553,0,1,0,0,1,0,1,2,0,1,0,2,1,0,1,1,3,6,6,10,12,25,35,60,56,51,51,45,39,32,30,15,19,9,8,5,8,7,6,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,1,"Fleet",0,0,326,0,0,0,0,0,1,0,0,0,1,1,1,2,3,2,0,0,4,3,8,6,7,30,39,51,39,22,27,18,9,11,7,4,3,3,7,2,10,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,1,"Fleet",0,0,339,0,0,0,0,0,0,0,0,0,0,0,1,2,1,3,0,4,5,5,2,1,6,28,39,42,58,37,23,19,17,12,6,7,6,3,3,1,1,1,2,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,1,"Fleet",0,0,634,0,0,0,0,0,1,1,0,1,0,0,0,0,1,2,1,3,1,0,6,5,24,41,80,76,70,64,39,37,30,47,29,11,16,14,16,4,2,3,3,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1997,1,"Fleet",0,0,1309,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,2,1,4,13,47,106,151,132,135,123,110,67,64,61,50,39,38,23,19,12,9,11,9,73,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
