"year","month","fleet","sex","partition","Nsamp","U-10","U-12","U-14","U-16","U-18","U-20","U-22","U-24","U-26","U-28","U-30","U-32","U-34","U-36","U-38","U-40","U-42","U-44","U-46","U-48","U-50","U-52","U-54","U-56","U-58","U-60","U-62","U-64","U-66","U-68","U-70","U-72","U-74","U-76","U-78","U-80","U-82","U-84","U-86","U-88","U-90","U-92","U-94","U-96","U-98","U-100","U-102","U-104","U-106","U-108","U-110","U-112","U-114","U-116","U-118","U-120","U-122","U-124","U-126","U-128","U-130"
1980,1,"Fleet",0,0,196,0,0,2,0,1,1,0,0,0,0,1,2,1,1,8,6,3,10,6,14,8,3,11,5,6,5,8,5,7,7,5,7,7,10,4,5,7,1,3,6,2,1,4,2,4,0,4,1,0,0,2,0,0,0,0,0,0,0,0,0,0
1981,1,"Fleet",0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,6,5,8,6,7,8,7,4,5,2,5,2,0,5,4,3,0,0,2,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,1,"Fleet",0,0,279,0,0,0,0,1,0,0,0,0,0,0,3,1,2,0,2,4,4,7,9,27,27,24,11,19,21,25,13,9,12,6,6,8,6,6,4,4,6,2,2,2,0,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1983,1,"Fleet",0,0,129,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,3,1,4,4,8,7,3,18,10,11,10,7,5,6,5,4,3,1,2,2,3,1,2,2,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984,1,"Fleet",0,0,274,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,3,8,12,6,13,11,17,15,20,21,16,21,22,9,17,8,15,9,6,4,2,2,3,0,1,1,1,3,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1985,1,"Fleet",0,0,397,0,0,0,0,1,0,0,2,0,0,0,1,0,2,3,3,3,9,3,10,12,12,21,10,25,29,23,26,28,38,28,11,18,11,13,11,6,4,7,5,5,4,3,4,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
1986,1,"Fleet",0,0,178,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,2,5,2,5,6,4,7,4,10,14,7,8,9,11,11,8,13,13,13,6,2,2,2,2,2,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987,1,"Fleet",0,0,289,0,0,0,1,0,1,0,1,2,2,1,0,1,5,1,3,4,8,11,14,13,9,13,12,15,14,26,21,20,17,17,7,8,8,7,7,1,5,1,1,1,2,2,1,3,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1988,1,"Fleet",0,0,325,0,0,0,0,0,0,0,1,1,1,1,2,4,1,5,6,2,6,11,14,16,24,17,20,18,18,17,13,18,18,19,10,10,11,8,4,4,5,3,5,2,2,3,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,1,"Fleet",0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,9,9,9,7,7,8,17,22,25,17,19,14,22,13,14,14,8,8,7,6,8,2,6,5,2,5,5,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,1,"Fleet",0,0,1082,0,0,0,0,0,0,0,0,0,1,5,4,4,6,6,7,28,38,81,78,92,75,76,85,61,77,47,53,42,30,33,27,12,11,20,14,14,8,9,5,3,5,5,5,3,3,3,1,1,2,0,2,0,0,0,0,0,0,0,0,0
1994,1,"Fleet",0,0,1040,0,0,0,0,0,0,0,1,1,0,2,1,0,1,8,20,28,48,43,62,84,93,100,78,73,65,48,52,36,22,42,22,18,21,20,10,13,9,6,4,0,2,4,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,1,"Fleet",0,0,474,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,2,1,3,7,14,24,43,46,38,41,36,29,31,28,26,17,28,6,14,5,7,3,8,3,3,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1996,1,"Fleet",0,0,601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,3,8,11,32,85,83,72,50,47,42,32,25,31,17,12,19,7,7,2,2,1,4,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1997,1,"Fleet",0,0,664,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,2,2,3,2,18,33,71,70,60,55,45,41,40,35,23,32,27,22,13,23,5,6,6,6,6,4,6,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0
1998,1,"Fleet",0,0,467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,3,6,14,49,60,52,49,38,30,26,23,28,13,9,13,10,9,9,4,5,3,4,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1999,1,"Fleet",0,0,73,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,13,4,7,6,9,4,3,3,0,1,2,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,1,"Fleet",0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,3,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,1,"Fleet",0,0,1465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,23,151,156,167,135,123,115,104,87,85,55,42,36,35,26,37,23,20,12,14,5,6,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0
2002,1,"Fleet",0,0,2933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,48,294,355,292,289,218,202,175,163,134,124,125,108,86,55,59,54,30,39,26,17,18,4,2,3,1,3,0,0,1,0,0,0,0,0,0,0
2003,1,"Fleet",0,0,3453,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,2,3,6,64,362,456,415,319,274,231,247,175,151,113,104,87,88,66,67,69,38,39,29,23,8,3,1,3,1,3,1,0,0,0,1,0,0,0,0,0
2004,1,"Fleet",0,0,2228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,32,220,323,299,259,233,163,125,97,98,60,48,43,33,40,37,27,29,23,15,10,5,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0
2005,1,"Fleet",0,0,3268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,2,7,31,297,383,388,351,287,259,188,187,158,147,117,83,83,54,45,42,34,32,25,20,17,7,1,7,3,1,3,0,1,1,1,1,1,0,0,0
2006,1,"Fleet",0,0,4800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0,0,1,41,407,583,588,525,447,363,316,247,226,197,156,144,119,80,78,60,60,45,34,19,23,12,5,10,2,4,0,0,1,2,0,0,0,0,0,0
2007,1,"Fleet",0,0,5469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,15,114,424,551,532,575,525,456,387,337,272,232,182,151,119,120,119,95,59,43,40,33,21,21,12,8,7,3,3,1,4,1,1,0,0,0,0,0,0,0
2008,1,"Fleet",0,0,5631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,2,3,6,22,169,486,623,614,581,635,487,415,342,257,197,148,120,83,91,82,59,47,42,30,24,19,12,13,12,2,2,0,1,0,1,0,0,0,0,0,0,0,0
2009,1,"Fleet",0,0,4964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,4,12,150,443,488,497,500,449,408,410,299,274,215,153,109,113,85,66,73,65,37,26,21,14,19,12,10,3,1,1,0,0,0,0,0,0,0,0,0,0,1
2010,1,"Fleet",0,0,5867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,5,4,10,162,722,709,670,534,485,465,402,350,232,182,173,166,147,100,74,57,48,32,30,29,22,11,12,5,7,6,1,2,1,1,0,0,0,0,0,0,0,0
