"Year","All_Fish","Sexed_Fish","Unsexed_Fish"
1979,48,13,35
1980,247,235,12
1981,160,98,62
1982,83,72,11
1983,46,43,3
1984,1,0,1
1985,3,3,0
1986,364,359,5
1987,341,336,5
1988,279,279,0
1989,296,296,0
1990,239,239,0
1991,310,310,0
1992,526,522,4
1993,548,542,6
1994,677,674,3
1995,1055,1030,25
1996,863,812,51
1997,516,446,70
1998,551,517,34
1999,471,431,40
2000,480,479,1
2001,620,619,1
2002,1119,951,168
2003,1495,1085,410
2004,1309,1081,228
2005,1624,1277,347
2006,1168,897,271
2007,1106,936,170
2008,590,452,138
2009,877,670,207
2010,822,516,306
2011,1070,409,661
2012,1052,415,637
2013,653,354,299
2014,1043,697,346
2015,762,501,261
2016,1084,864,220
2017,2332,1562,770
2018,1721,910,811
2019,2900,1674,1226
2020,1595,1302,293
