"year","month","fleet","sex","partition","Nsamp","U-10","U-12","U-14","U-16","U-18","U-20","U-22","U-24","U-26","U-28","U-30","U-32","U-34","U-36","U-38","U-40","U-42","U-44","U-46","U-48","U-50","U-52","U-54","U-56","U-58","U-60","U-62","U-64","U-66","U-68","U-70","U-72","U-74","U-76","U-78","U-80","U-82","U-84","U-86","U-88","U-90","U-92","U-94","U-96","U-98","U-100","U-102","U-104","U-106","U-108","U-110","U-112","U-114","U-116","U-118","U-120","U-122","U-124","U-126","U-128","U-130"
1979,1,"Fleet",0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,2,0,1,2,0,3,3,2,2,0,5,1,3,2,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,1,"Fleet",0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,1,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981,1,"Fleet",0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,4,4,0,2,6,1,4,4,2,4,1,3,2,1,1,0,2,4,4,3,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,1,"Fleet",0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983,1,"Fleet",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984,1,"Fleet",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,1,"Fleet",0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1987,1,"Fleet",0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1992,1,"Fleet",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,1,"Fleet",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,1,"Fleet",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,1,"Fleet",0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,1,3,3,5,0,1,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,1,"Fleet",0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,5,4,7,2,6,5,4,3,2,5,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,1,"Fleet",0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,1,3,8,9,5,6,9,8,3,6,2,1,0,0,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,1,"Fleet",0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,6,4,0,5,2,3,1,1,1,0,0,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,1,"Fleet",0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,7,4,9,1,5,2,0,2,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,1,"Fleet",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,1,"Fleet",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,1,"Fleet",0,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,15,24,27,23,11,17,13,8,2,7,2,2,3,3,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,1,"Fleet",0,0,410,1,0,0,0,0,0,1,0,4,0,0,0,1,2,1,0,0,0,0,0,0,1,2,2,7,36,54,58,30,46,27,33,18,22,10,3,7,8,12,5,6,6,3,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,1,"Fleet",0,0,228,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,7,12,21,28,32,25,21,16,13,10,7,5,5,2,4,4,2,2,0,1,0,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
2005,1,"Fleet",0,0,347,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,1,1,0,0,3,2,8,7,29,27,44,37,34,29,18,14,15,15,9,7,8,5,7,4,2,3,3,1,3,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0
2006,1,"Fleet",0,0,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,3,13,22,33,29,28,19,17,11,16,11,16,10,11,7,5,5,2,0,4,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,1,"Fleet",0,0,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,10,23,18,15,21,18,12,11,13,8,4,2,2,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2008,1,"Fleet",0,0,138,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,5,8,15,15,12,13,11,6,7,6,10,3,2,8,2,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2009,1,"Fleet",0,0,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,7,17,20,24,24,20,18,15,9,11,6,4,6,2,3,2,0,3,4,1,0,2,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2010,1,"Fleet",0,0,306,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,2,2,6,14,24,22,42,30,22,27,11,9,9,9,14,7,11,7,6,6,5,2,8,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,1,"Fleet",0,0,661,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,4,5,18,51,43,39,47,39,26,33,40,30,30,28,27,20,14,22,20,20,15,12,13,14,10,15,11,4,1,1,2,3,0,0,0,0,0,0,0,0,0
2012,1,"Fleet",0,0,637,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,2,1,3,3,13,45,53,68,71,59,54,49,37,25,31,11,12,18,9,9,13,14,3,8,1,2,2,5,2,1,1,2,1,3,0,0,1,1,0,0,1,0,0
2013,1,"Fleet",0,0,299,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,5,6,18,27,38,34,28,13,21,15,17,13,10,9,10,6,7,1,6,3,1,2,2,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
2014,1,"Fleet",0,0,346,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,2,3,17,13,30,39,28,32,20,19,26,17,16,18,12,10,6,5,4,4,0,2,3,1,3,2,1,0,3,3,0,1,0,0,0,0,0,0,0
2015,1,"Fleet",0,0,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,15,21,16,29,24,22,18,18,15,18,10,10,12,9,3,7,3,2,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,1,"Fleet",0,0,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,5,20,17,24,22,25,23,20,15,12,7,3,4,1,5,2,3,2,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,1,"Fleet",0,0,770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,3,7,25,46,49,58,52,44,66,57,65,35,41,41,18,23,18,15,22,26,20,8,7,6,4,3,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0
2018,1,"Fleet",0,0,811,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,2,1,5,8,10,7,18,34,35,41,47,56,38,45,54,52,45,40,36,40,27,36,20,25,16,22,8,10,9,6,2,1,5,2,1,0,1,1,0,1,0,0,0,1,0,0
