"Label","Base model","all_CAAL_ages","all_marg_ages","combMF","no_unsexed","DM"
"TOTAL likelihood (diff from base)",0,-591.91,-1196.42,-4.9399999999996,-1311.16,-397081.7
"Survey likelihood (diff from base)",0,-11.30215,-12.14729,0.18908,-9.76718,9.14571
"Length comp likelihood (diff from base)",0,-1246.96,-1258.88,-6.23999999999978,-1268.86,-398654.64
"Age comp likelihood (diff from base)",0,667.307,73.989,0.567999999999984,-26.861,1491.827
"Discard likelihood (diff from base)",0,-2.9451,-1.5827,0.0556999999999945,-1.17270000000001,5.4811
"Parm priors likelihood (diff from base)",0,-2.162269,-2.337466,0.0739299999999998,0.0430699999999997,32.96992
"Recr Virgin millions",2.94882,2209.19,15.9443,3.09113,7.06114,3.3207
"log(R0)",7.98916,14.6081,9.67685,8.03629,8.86236,8.10793
"M Female ",0.231156,0.479952,0.435285,0.237592,0.373154,0.255688
"M Male ",0.253881,0.437251,0.407391,0.257146,0.346217,0.269543
"SSB Virgin 1000 mt",15.488,1392.03,14.407,14.962,9.858,17.229
"SSB 2021 1000 mt",8.202,1902.46,17.954,7.986,7.74,19.422
"Fraction unfished 2021",0.529579,1.36669,1.24617,0.533712,0.785175,1.12727
"Fishing intensity 2020",0.281344,0.000495421,0.0598195,0.275679,0.157017,0.155913
"Retained Catch MSY mt",942.698,517424,3997.91,942.858,1187.61,1543.64
"Dead Catch MSY mt",948.648,525524,4049.36,948.789,1194.98,1558.67
"Virgin age 3+ bio 1000 mt",21.8798,2764.59,26.7717,21.495,17.729,23.1432
"OFL mt 2021",278.463,261.254,255.728,278.338,270.567,261.622
