"Label","North base","South base","North 2017","South 2017"
"Recr Virgin millions",15.8614,2.94882,8.66369,4.84837
"log(R0)",9.67164,7.98916,9.0669,8.4864
"M Female ",0.412613,0.231156,0.257,0.257
"M Male ",0.409061,0.253881,0.304947,0.319169
"SSB Virgin 1000 mt",16.913,15.488,37.974,20.26
"SSB 2021 1000 mt",10.677,8.202,25.187,6.848
"SSB 2017 1000 mt",12.924,7.602,21.976,6.509
"Fraction unfished 2017",0.764129,0.490809,0.578702,0.321265
"Fraction unfished 2021",0.631249,0.529579,0.663268,0.338012
"Fishing intensity 2016",0.245824,0.531668,0.250401,0.611811
"Fishing intensity 2020",0.278997,0.281344,0.3223,0.777492
"Retained Catch MSY mt",3816.93,942.698,3268.9,1828.24
"Dead Catch MSY mt",4079.41,948.648,3408.94,1855.69
"Virgin age 3+ bio 1000 mt",32.0721,21.8798,56.0046,31.2352
"OFL mt 2021",4847.78,278.463,5476.51,1594.48
