"Label","Base model","asymptotic_FG","female_sel_offset","female_sel_offset_M0.3"
"TOTAL likelihood (diff from base)",0,1.92000000000007,-203.91,-185.46
"Survey likelihood (diff from base)",0,-5.70929,-14.87939,-9.30979
"Length comp likelihood (diff from base)",0,14.73,-137.11,-117.93
"Age comp likelihood (diff from base)",0,-10.797,-61.9060000000001,-64.715
"Discard likelihood (diff from base)",0,0.586500000000001,0.184699999999999,-0.202199999999998
"Parm priors likelihood (diff from base)",0,-0.38799,4.46327,1.88877
"Recr Virgin millions",2.25321,2.94397,2.34969,6.15838
"SR BH steep",0.501638,0.478613,0.322824,0.339925
"M Female ",0.169986,0.223546,0.130871,0.3
"M Male ",0.222468,0.232008,0.319052,0.481251
"SSB Virgin 1000 mt",26.444,13.528,54.653,16.218
"SSB 2021 1000 mt",10.415,2.248,12.019,5.316
"Fraction unfished 2021",0.393857,0.166158,0.219907,0.327795
"Fishing intensity 2020",0.350211,0.66452,0.458183,0.316663
"Retained Catch MSY mt",834.051,894.716,565.68,724.732
"Dead Catch MSY mt",839.056,899.029,568.462,728.804
"Virgin age 3+ bio 1000 mt",32.6173,21.1313,58.5453,20.0363
"OFL mt 2021",277.804,287.119,281.147,277.917
