"Year","All_Fish","Sexed_Fish","Unsexed_Fish"
1999,178,178,0
2000,264,264,0
2001,791,791,0
2002,858,857,1
2003,807,805,2
2004,653,647,6
2005,541,540,1
2006,799,799,0
2007,788,788,0
2008,740,740,0
2012,260,260,0
2013,258,258,0
2014,259,259,0
2015,259,259,0
2016,260,260,0
2017,260,260,0
2018,258,258,0
2019,258,258,0
