"year","month","fleet","sex","partition","ageErr","agelow","agehigh","Nsamp","U-0","U-1","U-2","U-3","U-4","U-5","U-6","U-7","U-8","U-9","U-10","U-11","U-12","U-13","U-14","U-15","U-16","U-17","U-18","U-19","U-20"
2002,7,4,0,0,1,-1,-1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,7,4,0,0,1,-1,-1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,7,4,0,0,1,-1,-1,6,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,7,4,0,0,1,-1,-1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
