"run","profile_parameter","parameter_value","likelihood","gradient","SB0","SBfinal","Deplfinal","Nparsonbounds"
"10","SR_LN(R0)",7.5,5161.81,0.0134178,13596.1,2056.83,0.151281,7
"9","SR_LN(R0)",7.75,5138.87,0.00306364,11749.4,2396.39,0.203958,7
"8","SR_LN(R0)",8,5132.26,0.00347788,11053.8,2872.91,0.259901,7
"7","SR_LN(R0)",8.25,5103.01,0.00240198,10780.7,3608.12,0.334684,7
"6","SR_LN(R0)",8.5,5093.66,0.00192653,10862.2,4461.96,0.410779,6
"5","SR_LN(R0)",8.75,5085.11,9.54605e-05,11305.7,5452.06,0.48224,6
"4","SR_LN(R0)",9,5078.01,0.000138909,12068.9,6604.3,0.547216,6
"3","SR_LN(R0)",9.25,5072.74,9.56574e-05,13145.1,7943.92,0.604324,6
"2","SR_LN(R0)",9.5,5069.35,0.00099526,14566.2,9536.92,0.654731,6
"1","SR_LN(R0)",9.75,5067.58,6.18766e-05,16375.1,11437.8,0.698489,7
"11","SR_LN(R0)",9.90358,5067.27,0.000305374,17742.2,12799.4,0.721408,7
"12","SR_LN(R0)",10,5067.38,0.000335403,18710.7,13745.7,0.734646,7
"13","SR_LN(R0)",10.25,5068.54,8.85348e-05,21747.8,16690.2,0.767445,6
"14","SR_LN(R0)",10.5,5070.56,7.88235e-05,25745,20531.5,0.797494,6
"15","SR_LN(R0)",10.75,5072.94,0.00450224,31045.9,25578.9,0.823907,6
"16","SR_LN(R0)",11,5075.29,5.25237e-05,37806.1,31925.8,0.844462,6
