"Year","Seas","Fleet","Gender","Partition","AgeError","LbinLo","LbinHi","nSamps","Age_0","Age_1","Age_2","Age_3","Age_4","Age_5","Age_6","Age_7","Age_8","Age_9","Age_10","Age_11","Age_12","Age_13","Age_14","Age_15","Age_16","Age_17","Age_18","Age_19","Age_20"
"2017","7","8","1","0","1","36","36",1,"0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2017","7","8","1","0","1","56","56",2,"0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2017","7","8","1","0","1","58","58",4,"0","0","0","0","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2017","7","8","1","0","1","62","62",3,"0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2017","7","8","1","0","1","64","64",2,"0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2017","7","8","1","0","1","66","66",6,"0","0","0","0","2","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2017","7","8","1","0","1","68","68",3,"0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2017","7","8","1","0","1","70","70",3,"0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2017","7","8","1","0","1","72","72",7,"0","0","0","0","0","5","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2017","7","8","1","0","1","74","74",4,"0","0","0","0","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2017","7","8","1","0","1","76","76",6,"0","0","0","0","0","1","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2017","7","8","1","0","1","78","78",7,"0","0","0","0","0","1","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2017","7","8","1","0","1","80","80",1,"0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2017","7","8","1","0","1","82","82",3,"0","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2017","7","8","1","0","1","84","84",1,"0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2017","7","8","1","0","1","86","86",4,"0","0","0","0","0","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2017","7","8","1","0","1","92","92",3,"0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0"
"2018","7","8","1","0","1","36","36",1,"0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2018","7","8","1","0","1","40","40",1,"0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
