"year","month","fleet","est","se_log"
2003,NA,NA,38200.4101602457,0.385967566132497
2004,NA,NA,29420.3240744301,0.269415894420199
2005,NA,NA,25221.7907134137,0.355666299071694
2006,NA,NA,40545.6780182309,0.345398843128521
2007,NA,NA,17621.2532889368,0.356842620098219
2008,NA,NA,14867.7726848538,0.205467342771327
2009,NA,NA,13690.6349538414,0.32379259851777
2010,NA,NA,14098.1910576939,0.173405063837792
2011,NA,NA,19431.6159258213,0.214958428764794
2012,NA,NA,28961.8946386333,0.224326619393443
2013,NA,NA,21807.1672324613,0.15390586147947
2014,NA,NA,45994.1928830724,0.264138979383955
2015,NA,NA,21224.2641643625,0.134414232991936
2016,NA,NA,23625.3910411122,0.115243020811424
2017,NA,NA,24129.6500074212,0.137353388332759
2018,NA,NA,31890.1575514648,0.345478926225695
2019,NA,NA,15691.7680509917,0.200718209250034
2021,NA,NA,21379.8328539908,0.269041846639116
2022,NA,NA,23072.2965079106,0.384505115826393
2023,NA,NA,20426.5677238162,0.188651864948134
2024,NA,NA,47412.5071992044,0.32164259757233
2025,NA,NA,51739.3813823144,0.347071430233563
