"Lingcod rows from Albin et al. 1993 (EFFORT AND CATCH ESTIMATES FOR NORTHERN AND CENTRAL CALIFORNIA MARINE RECREATIONAL FISHERIES, 1981-1986)",,,,,,,,,,,,,,,,,,
,Del Norte / Humboldt,Del Norte / Humboldt,Del Norte / Humboldt,Mondocino / Sonoma,Mondocino / Sonoma,Mondocino / Sonoma,San Francisco,San Francisco,San Francisco,Santa Cruz / Monterey,Santa Cruz / Monterey,Santa Cruz / Monterey,San Luis Obispo,San Luis Obispo,San Luis Obispo,Total,Total,Total
Year,Est,SE,CV,Est,SE,CV,Est,SE,CV,Est,SE,CV,Est,SE,CV,Est,SE,CV
1981,33,15,44,17,9,53,3,1,34,54,27,50,11,4,40,118,32,27
1982,12,11,92,20,9,47,31,12,38,42,13,32,6,3,45,111,23,21
1983,7,5,67,26,12,45,31,7,24,30,9,31,14,7,47,108,19,17
1984,27,25,92,24,13,53,11,3,25,39,8,20,33,40,120,134,49,37
1985,49,35,71,47,20,43,27,7,27,32,7,21,13,5,42,168,42,25
1986,27,30,111,28,7,25,35,9,27,97,24,25,32,13,41,219,42,19
