"run","profile_parameter","parameter_value","likelihood","gradient","SB0","SBfinal","Deplfinal","Nparsonbounds"
"5","NatM_uniform_Fem_GP_1",0.2,5125.38,0.0877639,19500.2,2500.92,0.128251,1
"4","NatM_uniform_Fem_GP_1",0.25,5114.25,0.00968346,16577.1,3461.18,0.208793,0
"3","NatM_uniform_Fem_GP_1",0.3,5102.63,0.00115963,14537,5073.48,0.349003,0
"2","NatM_uniform_Fem_GP_1",0.35,5092.74,9.04796e-05,14440.6,7035.88,0.487231,0
"1","NatM_uniform_Fem_GP_1",0.4,5088.17,0.000371625,16059.3,9779.94,0.608991,0
"6","NatM_uniform_Fem_GP_1",0.408599,5088.03,6.99327e-05,16546.2,10383.5,0.627546,0
"7","NatM_uniform_Fem_GP_1",0.45,5089.35,0.00310827,21387,15568.7,0.727954,0
"8","NatM_uniform_Fem_GP_1",0.5,5098.9,9.37788e-05,35107,27849.5,0.793274,1
"9","NatM_uniform_Fem_GP_1",0.55,5120.11,7.70875e-05,174295,144652,0.829925,1
