"year","month","fleet","sex","partition","Nsamp","U10","U12","U14","U16","U18","U20","U22","U24","U26","U28","U30","U32","U34","U36","U38","U40","U42","U44","U46","U48","U50","U52","U54","U56","U58","U60","U62","U64","U66","U68","U70","U72","U74","U76","U78","U80","U82","U84","U86","U88","U90","U92","U94","U96","U98","U100","U102","U104","U106","U108","U110","U112","U114","U116","U118","U120","U122","U124","U126","U128","U130","U10.1","U12.1","U14.1","U16.1","U18.1","U20.1","U22.1","U24.1","U26.1","U28.1","U30.1","U32.1","U34.1","U36.1","U38.1","U40.1","U42.1","U44.1","U46.1","U48.1","U50.1","U52.1","U54.1","U56.1","U58.1","U60.1","U62.1","U64.1","U66.1","U68.1","U70.1","U72.1","U74.1","U76.1","U78.1","U80.1","U82.1","U84.1","U86.1","U88.1","U90.1","U92.1","U94.1","U96.1","U98.1","U100.1","U102.1","U104.1","U106.1","U108.1","U110.1","U112.1","U114.1","U116.1","U118.1","U120.1","U122.1","U124.1","U126.1","U128.1","U130.1"
2003,7,7,0,0,176,0,1.33333333333333,5.33333333333333,30.6666666666667,29.3333333333333,13.3333333333333,2.66666666666667,1.33333333333333,1.33333333333333,1.33333333333333,1.33333333333333,1.33333333333333,0,2.66666666666667,0,1.33333333333333,0,1.33333333333333,0,1.33333333333333,0,0,2.66666666666667,0,0,0,0,1.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33333333333333,5.33333333333333,30.6666666666667,29.3333333333333,13.3333333333333,2.66666666666667,1.33333333333333,1.33333333333333,1.33333333333333,1.33333333333333,1.33333333333333,0,2.66666666666667,0,1.33333333333333,0,1.33333333333333,0,1.33333333333333,0,0,2.66666666666667,0,0,0,0,1.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,7,7,0,0,168,0,0,0,25,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,7,7,0,0,178,0,0,38.4615384615385,30.7692307692308,26.9230769230769,0,0,0,0,0,0,0,0,3.84615384615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.4615384615385,30.7692307692308,26.9230769230769,0,0,0,0,0,0,0,0,3.84615384615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,7,7,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007,7,7,0,0,88,0,10,10,20,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,20,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,7,7,0,0,171,0.4739336492891,3.3175355450237,9.47867298578199,31.7535545023697,31.7535545023697,14.218009478673,3.7914691943128,2.3696682464455,0,0.4739336492891,1.8957345971564,0.4739336492891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4739336492891,3.3175355450237,9.47867298578199,31.7535545023697,31.7535545023697,14.218009478673,3.7914691943128,2.3696682464455,0,0.4739336492891,1.8957345971564,0.4739336492891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,7,7,0,0,228,0,0.680272108843537,8.84353741496599,29.9319727891156,34.0136054421769,20.4081632653061,4.76190476190476,0,1.36054421768707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.680272108843537,8.84353741496599,29.9319727891156,34.0136054421769,20.4081632653061,4.76190476190476,0,1.36054421768707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,7,7,0,0,211,0.763358778625954,2.29007633587786,19.4656488549618,33.969465648855,20.9923664122137,14.5038167938931,5.72519083969466,1.90839694656489,0,0.381679389312977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.763358778625954,2.29007633587786,19.4656488549618,33.969465648855,20.9923664122137,14.5038167938931,5.72519083969466,1.90839694656489,0,0.381679389312977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,7,7,0,0,249,0,6.77966101694915,25.4237288135593,23.728813559322,20.3389830508475,18.6440677966102,3.38983050847458,0,0,1.69491525423729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.77966101694915,25.4237288135593,23.728813559322,20.3389830508475,18.6440677966102,3.38983050847458,0,0,1.69491525423729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,7,7,0,0,254,0.421940928270042,1.26582278481013,11.8143459915612,41.7721518987342,26.5822784810127,12.2362869198312,5.90717299578059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.421940928270042,1.26582278481013,11.8143459915612,41.7721518987342,26.5822784810127,12.2362869198312,5.90717299578059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,7,7,0,0,171,1.58730158730159,4.76190476190476,9.52380952380952,19.047619047619,28.5714285714286,26.984126984127,6.34920634920635,0,0,0,0,0,0,0,0,0,0,0,1.58730158730159,0,0,0,0,0,0,0,0,0,0,0,0,1.58730158730159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.58730158730159,4.76190476190476,9.52380952380952,19.047619047619,28.5714285714286,26.984126984127,6.34920634920635,0,0,0,0,0,0,0,0,0,0,0,1.58730158730159,0,0,0,0,0,0,0,0,0,0,0,0,1.58730158730159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,7,7,0,0,268,0,0,0,7.14285714285714,50,35.7142857142857,2.38095238095238,0,0,0,0,0,2.38095238095238,2.38095238095238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14285714285714,50,35.7142857142857,2.38095238095238,0,0,0,0,0,2.38095238095238,2.38095238095238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,7,7,0,0,254,0,2.27272727272727,2.27272727272727,25,36.3636363636364,9.09090909090909,6.81818181818182,2.27272727272727,4.54545454545455,2.27272727272727,0,2.27272727272727,0,0,0,0,0,0,0,0,0,2.27272727272727,0,2.27272727272727,0,0,0,0,0,0,0,0,2.27272727272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.27272727272727,2.27272727272727,25,36.3636363636364,9.09090909090909,6.81818181818182,2.27272727272727,4.54545454545455,2.27272727272727,0,2.27272727272727,0,0,0,0,0,0,0,0,0,2.27272727272727,0,2.27272727272727,0,0,0,0,0,0,0,0,2.27272727272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,7,7,0,0,209,2.77777777777778,5.55555555555556,22.2222222222222,27.7777777777778,16.6666666666667,11.1111111111111,11.1111111111111,0,2.77777777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.77777777777778,5.55555555555556,22.2222222222222,27.7777777777778,16.6666666666667,11.1111111111111,11.1111111111111,0,2.77777777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,7,7,0,0,221,0,5,6.66666666666667,10,18.3333333333333,20,5,0,5,5,16.6666666666667,5,3.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6.66666666666667,10,18.3333333333333,20,5,0,5,5,16.6666666666667,5,3.33333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
