"year","month","Fleet","sex","partition","ageErr","LbinLo","LbinHi","nSamps","F0","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F0.1","F1.1","F2.1","F3.1","F4.1","F5.1","F6.1","F7.1","F8.1","F9.1","F10.1","F11.1","F12.1","F13.1","F14.1","F15.1"
1995,"Month","Fleet",1,0,"Enter",65,65,12,0,0,0,33.3333333333333,33.3333333333333,16.6666666666667,16.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,33.3333333333333,33.3333333333333,16.6666666666667,16.6666666666667,0,0,0,0,0,0,0,0,0
1995,"Month","Fleet",1,0,"Enter",67,67,4,0,0,0,0,25,50,25,0,0,0,0,0,0,0,0,0,0,0,0,0,25,50,25,0,0,0,0,0,0,0,0,0
1995,"Month","Fleet",1,0,"Enter",69,69,5,0,0,0,0,40,20,40,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,40,0,0,0,0,0,0,0,0,0
1995,"Month","Fleet",1,0,"Enter",71,71,6,0,0,0,16.6666666666667,16.6666666666667,33.3333333333333,16.6666666666667,16.6666666666667,0,0,0,0,0,0,0,0,0,0,0,16.6666666666667,16.6666666666667,33.3333333333333,16.6666666666667,16.6666666666667,0,0,0,0,0,0,0,0
1995,"Month","Fleet",1,0,"Enter",73,73,3,0,0,0,0,33.3333333333333,66.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.3333333333333,66.6666666666667,0,0,0,0,0,0,0,0,0,0
1995,"Month","Fleet",1,0,"Enter",75,75,2,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0
1995,"Month","Fleet",1,0,"Enter",77,77,3,0,0,0,0,33.3333333333333,66.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.3333333333333,66.6666666666667,0,0,0,0,0,0,0,0,0,0
1995,"Month","Fleet",1,0,"Enter",79,79,1,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0
1995,"Month","Fleet",1,0,"Enter",81,81,2,0,0,0,0,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,50,0,0,0,0,0,0,0,0,0
1995,"Month","Fleet",1,0,"Enter",83,83,1,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
1995,"Month","Fleet",1,0,"Enter",95,95,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
1995,"Month","Fleet",1,0,"Enter",97,97,1,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
1998,"Month","Fleet",1,0,"Enter",25,25,1,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,"Month","Fleet",1,0,"Enter",27,27,3,33.3333333333333,66.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.3333333333333,66.6666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,"Month","Fleet",1,0,"Enter",29,29,7,28.5714285714286,71.4285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.5714285714286,71.4285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0
