area,parameters,low,high,step_size,param_space,use_prior_like
n,NatM_uniform_Fem_GP_1,0.1,0.5,0.05,real,1
s,NatM_uniform_Fem_GP_1,0.05,0.5,0.01,real,1
n,SR_LN(R0),8,11,0.25,real,1
s,SR_LN(R0),6.5,10,0.25,real,1
,SR_BH_steep,0.4,0.9,0.1,real,1
,L_at_Amax_Fem_GP_1,100,114,2,real,1
