"Label","Base model","NA","NA","NA"
"TOTAL likelihood (diff from base)",0,-2828.04,-427.52,16.9699999999993
"Survey likelihood (diff from base)",0,-1.44,10.774,7.96600000000001
"Length comp likelihood (diff from base)",0,-213.09,-374.52,17.6999999999998
"Age comp likelihood (diff from base)",0,-2614.891,-165.51,-12.0499999999997
"Discard likelihood (diff from base)",0,-1.59870000000001,-2.803,2.7132
"Parm priors likelihood (diff from base)",0,0.138965,103.912143,0.079411
"Recr Virgin millions",16.7346,11.8395,2.45722,5.40313
"SR BH steep",0.80139,0.774177,0.918291,0.763173
"M Female ",0.417839,0.326487,0.151973,0.3
"M Male ",0.413968,0.289519,0.267928,0.302506
"SSB Virgin 1000 mt",17.16,24.501,36.512,14.494
"SSB 2021 1000 mt",11.01,17.623,22.435,4.949
"Fraction unfished 2021",0.641626,0.719302,0.614458,0.341427
"Fishing intensity 2020",0.26195,0.216461,0.564105,0.678056
"Retained Catch MSY mt",3937.89,4323.34,1832.65,2001.74
"Dead Catch MSY mt",4222.53,4536.78,1935.1,2087.64
"Virgin age 3+ bio 1000 mt",32.693,45.9973,44.142,24.7773
"OFL mt 2021",5084.77,6421.62,1716.08,1512.32
